Almac�n;CODIGO;Desc. c�digo;Stock;Caducidad;Ubicaci�n;Precio;Importe;P.de Venta;Importe Venta;Dif. Precio;Dif. Importe;ABC;Familia;Descripci�n;Desc. c�digo;VA_COLOR;VA_COLOR2;VA_TOOLTIP
1;663361;ACEDIUR 20 MG/12,5 MG 30 COMPRIMIDOS;0;oct-28;;1,33;0;1,84;0;0,51;0;;01;Especialidad;ACEDIUR 20 MG/12,5 MG 30 COMPRIMIDOS;;;
1;102440;ACEIT ESEN MILENRAMA 5ML;0;;;;;0;;;;;101;Parafarmacia;ACEIT ESEN MILENRAMA 5ML;;;
1;151960;ACEITE ALMEN DULC LOLES F 250M;0;;;;;0;;;;;102;Dermofarmacia;ACEITE ALMEN DULC LOLES F 250M;;;
1;158030;ACEITE ALMENDR DULC NAMIRA 125;0;;;;;0;;;;;102;Dermofarmacia;ACEITE ALMENDR DULC NAMIRA 125;;;
1;106348;ACEITE ALMENDRAS DULCES 1 LITRO SOTYA;0;;;;;0;;;;;101;Parafarmacia;ACEITE ALMENDRAS DULCES 1 LITRO SOTYA;;;
1;866665;ACEITE DE RICINO REIG JOFRE 1 G/ML LIQUIDO ORAL 1 FRASCO 25 ML;0;;;;;0;;;;;01;Especialidad;ACEITE DE RICINO REIG JOFRE 1 G/ML LIQUIDO ORAL 1 FRASCO 25 ML;;;
1;003546;ACEITE HIG BACA PERLA500MG120C;0;;;;;0;;;;;101;Parafarmacia;ACEITE HIG BACA PERLA500MG120C;;;
1;174016;ACEITE HIPOCALORICO ORDESA 1 ENVASE 500 ML;0;;;;;0;;;;;101;Parafarmacia;ACEITE HIPOCALORICO ORDESA 1 ENVASE 500 ML;;;
1;866228;ACEOTO PLUS 3 MG/ML + 0,25 MG/ML GOTAS OTICAS EN SOLUCION 1 FRASCO 10 ML;0;mar-27;;;;0;;;;;01;Especialidad;ACEOTO PLUS 3 MG/ML + 0,25 MG/ML GOTAS OTICAS EN SOLUCION 1 FRASCO 10 ML;;;
1;037781;ACEROL C NUTERGIA 60 COMPRIMIDOS;0;ago-28;;;;0;;;;;101;Parafarmacia;ACEROL C NUTERGIA 60 COMPRIMIDOS;;;
1;650427;ACETILCISTEINA CINFA EFG 200 MG 30 SOBRES POLVO PARA SOLUCION ORAL;0;oct-27;;3,86;0;5,35;0;1,49;0;;01;Especialidad;ACETILCISTEINA CINFA EFG 200 MG 30 SOBRES POLVO PARA SOLUCION ORAL;;;
1;654312;ACETILCISTEINA CINFA EFG 600 MG 20 COMPRIMIDOS EFERVESCENTES;0;ene-28;;3,97;0;5,5;0;1,53;0;;01;Especialidad;ACETILCISTEINA CINFA EFG 600 MG 20 COMPRIMIDOS EFERVESCENTES;;;
1;650426;ACETILCISTEINA CINFA EFG 600 MG 20 SOBRES POLVO PARA SOLUCION ORAL;0;nov-27;;;;0;;;;;01;Especialidad;ACETILCISTEINA CINFA EFG 600 MG 20 SOBRES POLVO PARA SOLUCION ORAL;;;
1;656303;ACETILCISTEINA PENSA EFG 200 MG 30 COMPRIMIDOS EFERVESCENTES;0;;;;;0;;;;;01;Especialidad;ACETILCISTEINA PENSA EFG 200 MG 30 COMPRIMIDOS EFERVESCENTES;;;
1;939579;ACFOL 5 MG 28 COMPRIMIDOS;0;ago-30;;1,8;0;2,5;0;0,7;0;;01;Especialidad;ACFOL 5 MG 28 COMPRIMIDOS;;;
1;728804;ACICLOVIR BRILL PHARMA 30 MG/G POMADA OFTALMICA 1 TUBO 4,5 G;0;;;;;0;;;;;01;Especialidad;ACICLOVIR BRILL PHARMA 30 MG/G POMADA OFTALMICA 1 TUBO 4,5 G;;;
1;729053;ACICLOVIR NORMON EFG 200 MG 25 COMPRIMIDOS;0;;;7,07;0;9,8;0;2,73;0;;01;Especialidad;ACICLOVIR NORMON EFG 200 MG 25 COMPRIMIDOS;;;
1;729103;ACICLOVIR NORMON EFG 50 MG/G CREMA 1 TUBO 15 G;0;mar-28;;;;0;;;;;01;Especialidad;ACICLOVIR NORMON EFG 50 MG/G CREMA 1 TUBO 15 G;;;
1;658914;ACICLOVIR NORMON EFG 50 MG/G CREMA 1 TUBO 2 G;0;mar-27;;2,87;0;3,98;0;1,11;0;;01;Especialidad;ACICLOVIR NORMON EFG 50 MG/G CREMA 1 TUBO 2 G;;;
1;729095;ACICLOVIR NORMON EFG 800 MG 35 COMPRIMIDOS;0;sep-27;;;;0;;;;;01;Especialidad;ACICLOVIR NORMON EFG 800 MG 35 COMPRIMIDOS;;;
1;705669;ACICLOVIR STADA EFG 800 MG 35 COMPRIMIDOS;0;;;;;0;;;;;01;Especialidad;ACICLOVIR STADA EFG 800 MG 35 COMPRIMIDOS;;;
1;817585;ACICLOVIR STADA 50 MG/G CREMA 1 TUBO 2 G;0;;;;;0;;;;;01;Especialidad;ACICLOVIR STADA 50 MG/G CREMA 1 TUBO 2 G;;;
1;130710;ACIDO ACETICO GLACIAL 1 L ACOFAR;0;jun-29;;;;0;;;;;101;Parafarmacia;ACIDO ACETICO GLACIAL 1 L ACOFAR;;;
1;710266;ACIDO ACETILSALICILICO ARISTO 100 MG 100 COMPRIMIDOS GASTRORRESISTENTES;0;abr-28;;;;0;;;;;01;Especialidad;ACIDO ACETILSALICILICO ARISTO 100 MG 100 COMPRIMIDOS GASTRORRESISTENTES;;;
1;662982;ACIDO ALENDRONICO SEMANAL CINFAMED EFG 70 MG 4 COMPRIMIDOS;0;may-28;;7,2;0;9,99;0;2,79;0;;01;Especialidad;ACIDO ALENDRONICO SEMANAL CINFAMED EFG 70 MG 4 COMPRIMIDOS;;;
1;661007;ACIDO ALENDRONICO SEMANAL NORMON EFG 70 MG 4 COMPRIMIDOS;0;jun-27;;7,2;0;9,99;0;2,79;0;;01;Especialidad;ACIDO ALENDRONICO SEMANAL NORMON EFG 70 MG 4 COMPRIMIDOS;;;
1;083709;ACIDO BORICO 50 G PROD QUIMICO;0;dic-29;;;;0;;;;;101;Parafarmacia;ACIDO BORICO 50 G PROD QUIMICO;;;
1;765592;ACIDO FOLICO ARISTO 5 MG 84 COMPRIMIDOS;0;may-27;;;;0;;;;;01;Especialidad;ACIDO FOLICO ARISTO 5 MG 84 COMPRIMIDOS;;;
1;700505;ACIDO FOLICO ASPOL 10 MG 50 CAPSULAS;0;sep-28;;5,96;0;8,27;0;2,31;0;;01;Especialidad;ACIDO FOLICO ASPOL 10 MG 50 CAPSULAS;;;
1;677630;ACIDO IBANDRONICO KERN PHARMA EFG 150 MG 3 COMPRIMIDOS RECUBIERTOS;0;;;;;0;;;;;01;Especialidad;ACIDO IBANDRONICO KERN PHARMA EFG 150 MG 3 COMPRIMIDOS RECUBIERTOS;;;
1;683525;ACIDO IBANDRONICO NORMON EFG 150 MG 1 COMPRIMIDO RECUBIERTO;0;nov-26;;;;0;;;;;01;Especialidad;ACIDO IBANDRONICO NORMON EFG 150 MG 1 COMPRIMIDO RECUBIERTO;;;
1;126979;ACIDO SALICILICO 100 G META;0;dic-26;;;;0;;;;;101;Parafarmacia;ACIDO SALICILICO 100 G META;;;
