Codigo_Nacional;Codigo;Nombre;Total Ventas;ventas1;ventas2;ventas3;ventas4;ventas5;ventas6;ventas7;ventas8;ventas9;ventas10;ventas11;ventas12;
226E1029;226E1029;226ERS ISOTONIC DRINK LIMON 500G 1 UD;1;0;0;1;0;0;0;0;0;0;0;0;0;
226E1032;226E1032;226ERS ISOTONIC DRINK MANGO 1000G 1 UD;1;0;0;1;0;0;0;0;0;0;0;0;0;
226E0394;226E0394;226ERS ISOTONIC GEL COLA CAFEINA 68gr 1 UD;64;0;0;6;4;1;10;0;36;2;5;0;0;
226E0393;226E0393;226ERS ISOTONIC GEL LIMA 68gr 1 UD;36;1;0;1;2;1;15;1;9;5;1;0;0;
226E0405;226E0405;226ERS ISOTONIC GEL SANDIA 68gr 1 UD;48;0;0;0;2;1;6;0;23;5;11;0;0;
226E0414;226E0414;226ERS ISOTONIC ICE GEL MENTA 68gr 1 UD;18;2;3;1;1;1;2;0;4;2;2;0;0;
226E0413;226E0413;226ERS ISOTONIC ICE GEL MENTA Y ARANDANOS 68gr 1 UD;18;0;1;2;3;1;6;0;4;0;1;0;0;
226E0777;226E0777;226ERS K-WEEKS IMMUNE 1000GR CAPUCCINO;7;0;0;0;1;0;0;0;0;1;1;0;4;
226E0784;226E0784;226ERS K-WEEKS IMMUNE 1000GR CHOCOLATE;1;0;0;0;0;0;0;0;0;0;1;0;0;
226E2511;226E2511;226ERS NEO BAR 46% PROTEIN CACAHUETES & CHOCOLATE 50GR;12;1;11;0;0;0;0;0;0;0;0;0;0;
226E2528;226E2528;226ERS NEO BAR 46% PROTEIN CHOCOLATE BLANCO & FRESA 50GR;6;0;3;0;0;0;0;0;0;1;0;2;0;
226E2504;226E2504;226ERS NEO BAR 46% PROTEIN COCO & CHOCOLATE 50GR;4;0;0;0;0;0;0;0;0;3;0;1;0;
226E0525;226E0525;226ERS NIGHT RECOVERY CREAM CHOCOLATE 1000GR;1;0;0;0;0;0;0;0;1;0;0;0;0;
226E0524;226E0524;226ERS NIGHT RECOVERY CREAM CHOCOLATE 500GR;1;0;0;0;0;0;0;0;0;0;0;1;0;
226E6562;226E6562;226ERS NITRO PRO SABOR REMOLACHA 290 GRS 1 UD;2;0;0;0;0;0;0;0;0;1;0;1;0;
226E6563;226E6563;226ERS NITRO PRO SABOR REMOLACHA MONODOSIS 1 UD;6;0;0;1;0;0;0;0;0;0;0;5;0;
226E0082;226E0082;226ERS PROTEINA ISOLATED CHOCOLATE 1 KG;6;0;1;0;0;1;0;1;0;1;1;0;1;
226E0083;226E0083;226ERS PROTEINA ISOLATED VAINILLA 1 KG;1;0;0;0;0;0;0;0;0;1;0;0;0;
226E8327;226E8327;226ERS PROTEINA WHEY CAPUCCINO 1 KG;4;0;0;0;0;0;2;0;0;0;1;0;1;
226E8328;226E8328;226ERS PROTEINA WHEY CHOCOLATE 1 KG;2;0;0;2;0;0;0;0;0;0;0;0;0;
226E8329;226E8329;226ERS PROTEINA WHEY VAINILLA 1 KG;2;0;1;0;0;0;0;0;0;0;1;0;0;
226E2276;226E2276;226ERS RACE DAY BAR BCCAS MANZANA & JENGIBRE 40GR;1;0;0;0;0;0;0;0;1;0;0;0;0;
226E2283;226E2283;226ERS RACE DAY BAR BCCAS PLATANO & JENGIBRE 40GR;12;0;0;1;5;1;2;0;3;0;0;0;0;
226E4799;226E4799;226ERS RACE DAY SALTY TRAIL ALMENDRAS Y SEMILLAS 40gr;18;0;1;0;5;0;1;0;3;8;0;0;0;
226E2664;226E2664;226ERS RECOVERY DRINK CAPUCCINO 1000GR;1;0;0;0;0;0;0;0;0;1;0;0;0;
226E1101;226E1101;226ERS RECOVERY DRINK CHOCOLATE MONODOSIS 50GR;7;0;3;1;0;0;0;0;0;1;0;1;1;
226E2665;226E2665;226ERS RECOVERY DRINK VAINILLA 1000GR;3;1;0;0;0;0;0;0;0;1;0;1;0;
226E1102;226E1102;226ERS RECOVERY DRINK VAINILLA MONODOSIS 50GR;5;3;0;0;0;0;0;0;0;1;0;1;0;
226E0966;226E0966;226ERS SALTS ELECTROLYTES 100 CAPSULAS;1;0;0;0;0;0;0;0;0;0;0;1;0;
226E3051;226E3051;226ERS SUB9 RACE DAY LEMON 87.5 GR;15;0;0;0;0;0;5;0;10;0;0;0;0;
226E0999;226E0999;226ERS SUB9 SALTS ELECTROLYTES BOTE 100UDS;5;0;0;0;0;2;0;0;3;0;0;0;0;
226E0302;226E0302;226ERS SUB9 SALTS ELECTROLYTES DUPLO;20;4;0;3;0;3;5;3;0;2;0;0;0;
226E1004;226E1004;226ERS SUB9 SALTS PRO ELECTROLYTES BOTE 100UDS;3;0;0;0;0;0;0;0;2;0;0;1;0;
226E1194;226E1194;226ERS SUB9 SALTS PRO ELECTROLYTES DUPLO;20;0;5;3;1;5;0;4;0;2;0;0;0;
226E1206;226E1206;226ERS VEGAN BETA ALANINA 90 CAPSULAS;3;0;0;0;0;0;0;0;0;2;0;1;0;
226E2217;226E2217;226ERS VEGAN GUMMIE BAR 30GR PECTINA 125mg SODIO FRESA;17;6;4;0;0;0;0;0;1;0;2;2;2;
226E2215;226E2215;226ERS VEGAN GUMMIE BAR 30GR PECTINA BBCAS LIMA;11;5;4;0;0;0;0;0;1;0;0;1;0;
226E2214;226E2214;226ERS VEGAN GUMMIE BAR 30GR PECTINA BBCAS MANGO;13;4;1;0;0;1;4;2;0;0;1;0;0;
226E2221;226E2221;226ERS VEGAN GUMMIE BAR 30GR PECTINA CAFEINA CHERRY COLA;29;0;5;7;9;1;0;0;3;2;0;1;1;
226E1207;226E1207;226ERS VEGAN MAGNESIUM BISGLYCINATE 90 CAPSULAS;1;0;0;0;0;0;0;0;0;0;0;0;1;
226E5979;226E5979;226ERS VEGAN OAT BAR FRESA & ANACARDO 50GR 1UD;4;2;2;0;0;0;0;0;0;0;0;0;0;
226E1210;226E1210;226ERS VEGAN SYMBIOTIC COMPLEX;2;0;0;0;0;0;0;0;2;0;0;0;0;
226E2627;226E2627;226ERS VEGAN VITAMIN + 60CAPS;4;0;0;0;0;0;0;0;2;0;0;2;0;
686580;8470006865804;A A S 100 MG 30 COM;37;5;4;4;1;3;4;4;0;2;5;1;4;
700693;8470007006930;AAS 500 MG 20 COMPRIMIDOS;6;0;0;0;1;1;0;0;1;1;1;1;0;
015503;8470000155031;ABE�ULA AZ GD;1;0;1;0;0;0;0;0;0;0;0;0;0;
728196;8470007281962;ABILIFY 10 MG 28 COMP;1;0;0;0;0;0;0;0;0;0;0;0;1;
720799;8470007207993;ABILIFY 10 MG 28 COMP DIF;1;0;0;1;0;0;0;0;0;0;0;0;0;
651608;8470006516089;ABILIFY 10 MG 28 COMP DISP;1;0;0;0;0;0;0;0;0;0;0;0;1;
728220;8470007282204;ABILIFY 15 MG 28 COMP;6;0;0;2;0;1;1;0;1;0;1;0;0;
652738;8470006527382;ABILIFY 1MGML S OR 150ML;7;0;0;0;2;0;0;1;1;0;1;2;0;
728154;8470007281542;ABILIFY 5 MG 28 COMP;19;5;1;2;1;1;0;2;1;1;1;3;1;
764869;8470007648697;ABILIFY MAINTENA 960 MG;3;0;0;0;0;0;0;1;0;1;1;0;0;
701736;8470007017363;ABILIFY MAINTENA400MG 1VI+1DIS;4;1;1;1;0;0;0;0;0;0;0;0;1;
738376;8470007383765;ABRILIA 20MG 7COM;7;0;0;0;0;0;0;2;4;0;1;0;0;
478487;8470004784879;ABS PANTS DIA MEDIANO 80UI;18;1;2;1;0;1;0;3;3;1;3;0;3;
476267;8470004762679;ABS PANTS NOCHE GRANDE 80UI;5;1;0;0;1;0;1;0;0;1;0;1;0;
469452;8470004694529;ABS PANTS NOCHE MEDIANO 80UI;13;3;0;1;1;1;0;1;2;1;0;2;1;
483404;8470004834048;ABS PANTS NUDE DIA GRD 80 UI;6;0;2;0;2;0;0;0;0;0;0;2;0;
484899;8470004848991;ABS PANTS NUDE DIA MED 80 UI;3;1;0;0;0;0;0;1;0;0;0;1;0;
484972;8470004849721;ABS PANTS NUDE NOCH GRD 80 UI;2;0;1;0;1;0;0;0;0;0;0;0;0;
485029;8470004850291;ABS PANTS NUDE SNOCH GRD 80 UI;2;0;0;0;0;0;0;0;0;0;0;1;1;
485011;8470004850116;ABS PANTS NUDE SNOCH MED 80 UI;2;0;0;0;0;0;1;0;0;0;1;0;0;
469460;8470004694604;ABS PANTS SNOCHE GRANDE 80UI;3;0;0;0;0;0;1;0;0;1;0;0;1;
476242;8470004762426;ABS PANTS SNOCHE MEDIANO 80UI;1;1;0;0;0;0;0;0;0;0;0;0;0;
710266;8470007102663;AC ACETIL ARISTO 100MG 100COM;13;0;1;2;0;1;2;0;0;2;3;0;2;
662982;8470006629826;AC ALENDRONICO CINFAMED70MG4CO;22;2;1;2;2;0;0;2;2;2;3;3;3;
661007;8470006610077;AC ALENDRONICO NORMON 70MG 4CO;40;3;4;4;3;2;4;4;3;5;1;4;3;
677630;8470006776308;AC IBANDRONICO KERN 150MG 3 CO;1;0;0;0;0;0;0;0;0;0;0;0;1;
683525;8470006835258;AC IBANDRONICO NORMON 150MG 1C;6;0;0;0;0;0;0;1;1;1;1;1;1;
710437;8470007104377;AC TRANEXAMICO TILLOMED500MG30;6;2;0;0;0;2;1;0;0;0;0;1;0;
700725;8470007007258;ACALKA 1080 MG 100 COM;16;1;2;2;1;1;1;1;2;1;1;1;2;
663991;8470006639917;ACECLOFENACO NORMON 100MG 20CO;1;0;0;0;0;0;1;0;0;0;0;0;0;
663361;8470006633618;ACEDIUR 30 COMP;59;3;5;4;5;2;6;8;3;9;4;4;6;
102440;8470001024404;ACEIT ESEN MILENRAMA 5ML;1;0;0;0;0;0;0;1;0;0;0;0;0;
158030;8470001580306;ACEITE ALMENDR DULC NAMIRA 125;1;0;0;0;0;0;0;1;0;0;0;0;0;
106348;8470001063489;ACEITE ALMENDRAS DULCES 1 LITRO SOTYA;2;0;0;0;0;2;0;0;0;0;0;0;0;
866665;8470008666652;ACEITE RICINO ORRAVAN 25 ML;1;0;0;0;0;0;0;0;0;0;1;0;0;
866228;8470008662289;ACEOTO PLUS GOT 10 ML;1;0;0;0;0;0;1;0;0;0;0;0;0;
650427;8470006504277;ACETILCISTEINA CINF 200M 30S I;15;4;0;1;1;0;0;1;1;2;2;0;3;
654312;8470006543122;ACETILCISTEINA CINF 600M 20C I;54;5;5;8;3;1;3;3;5;4;6;3;8;
650426;8470006504260;ACETILCISTEINA CINF 600M 20S I;12;2;2;1;2;0;0;0;1;0;3;1;0;
939579;8470009395797;ACFOL 5 MG 28 COMP;162;12;19;14;11;9;16;11;5;17;12;16;20;
729053;8470007290537;ACICLOVIR NORMON 200MG 25COM;10;0;0;0;2;0;5;1;0;1;0;0;1;
729103;8470007291039;ACICLOVIR NORMON 50 MG CR 15 G;12;0;1;1;1;1;1;1;0;1;2;2;1;
658914;8470006589144;ACICLOVIR NORMON 50MG CR 2 G;20;1;0;0;4;2;2;3;0;0;0;3;5;
729095;8470007290957;ACICLOVIR NORMON 800 MG 35COM;10;2;0;3;0;0;0;1;1;0;2;0;1;
705669;8470007056690;ACICLOVIR STADA 800MG 35COMP;2;1;0;0;0;0;0;0;0;0;0;0;1;
817585;8470008175857;ACICLOVIR STADA CR 50MG 2G;6;1;0;3;1;1;0;0;0;0;0;0;0;
765592;8470007655923;ACIDO FOLICO ARISTO 5MG 84COM;1;1;0;0;0;0;0;0;0;0;0;0;0;
700505;8470007005056;ACIDO FOLICO ASPOL 10MG 50CAP;2;0;0;0;0;0;0;0;0;1;0;0;1;
197601;8470001976017;ACMED CREAM 75 ML;3;0;0;0;1;0;1;0;0;0;1;0;0;
180647;8470001806475;ACNIBEN BODY 150 ML;1;0;0;0;1;0;0;0;0;0;0;0;0;
324591;8470003245913;ACNIBEN LIMPIADOR PURIF 150;1;0;0;0;0;0;0;0;0;0;0;0;1;
200070;8470002000704;ACNIBEN REPAIR GEL CR CALMA 40;8;0;1;0;1;0;1;2;0;1;0;1;1;
190374;8470001903747;ACOFAR KINESIOLOGY TAPE VENDAJE 1 UNIDAD 5 m x 5 cm COLOR AZUL;2;0;1;0;0;1;0;0;0;0;0;0;0;
190375;8470001903754;ACOFAR KINESIOLOGY TAPE VENDAJE 1 UNIDAD 5 m x 5 cm COLOR FUCSIA;1;0;0;1;0;0;0;0;0;0;0;0;0;
