Codigo_Nacional;Codigo;Nombre;Total Ventas;ventas1;ventas2;ventas3;ventas4;ventas5;ventas6;ventas7;ventas8;ventas9;ventas10;ventas11;ventas12
201924;8,47E+12;CUMLAUDE LAB: HIGIENE INTIMA DIARIA GEL 1 TUBO 200 ml;1;0;0;0;0;0;0;1;0;0;0;0;0
CUMLA681;CUMLA681;CUMLAUDE LAB: PACK HIGIENE INTIMA DELIGYN 1 ENVASE 2x500 ml 2� UD -40% DESCUENTO;1;0;1;0;0;0;0;0;0;0;0;0;0
CUMLA709;CUMLA709;CUMLAUDE LAB: PACK INTIMCARE RUTINA INTIMA MUCOSAS SENSIBLES;1;1;0;0;0;0;0;0;0;0;0;0;0
CUMLA028;CUMLA028;CUMLAUDE LAB: PACK INTIMCARE RUTINA INTIMA STOP MOLESTIAS;1;0;0;0;1;0;0;0;0;0;0;0;0
CUM05759;CUM05759;CUMLAUDE LAB: PACK RUTINA INTIMA HIDRATACION PLUS INTIMCARE x LUBRIPIU;1;0;1;0;0;0;0;0;0;0;0;0;0
CUM32702;CUM32702;CUMLAUDE LAB: PROMO DUPLO GYNELAUDE MUCUS 30 ML;6;1;1;3;1;0;0;0;0;0;0;0;0
198726;8,47E+12;CUMLAUDE LUBRIPIU CR 30 ML;1;0;0;0;0;1;0;0;0;0;0;0;0
179086;8,47E+12;CUMLAUDE PREBIOTIC 3GR 10 OVUL;8;0;1;0;1;1;0;1;3;0;1;0;0
181445;8,47E+12;CUMLAUDE RECTAL MD 30 ML;1;0;0;1;0;0;0;0;0;0;0;0;0
203338;8,47E+12;CUMLAUDE SEROTOGYN NOCTA 30CAP;11;0;2;1;1;0;2;0;2;1;0;1;1
183290;8,47E+12;CUMLAUDE VIDERAGE 30 ML;1;0;0;0;0;0;1;0;0;0;0;0;0
973883;8,47001E+12;CUSICROM FUERTE OFTALMICO 40 mg/ml COLIRIO EN SOLUCION 1 FRASCO 10 ml;1;0;0;0;0;0;0;1;0;0;0;0;0
952937;8,47001E+12;CUSIMOLOL 0.5 % COLI 5 ML;8;1;1;0;1;1;1;1;0;0;1;1;0
583682;8,47001E+12;CYCLAVANCE 50 ML;1;0;0;0;0;0;1;0;0;0;0;0;0
716819;8,47001E+12;CYCLOGEST 400 MG 15 OVULOS;49;6;4;6;2;1;1;7;6;2;3;2;9
651478;8,47001E+12;CYMBALTA 30 MG 28 CAPS;6;2;1;0;0;1;1;0;1;0;0;0;0
651479;8,47001E+12;CYMBALTA 60 MG 28 CAPS;8;1;0;1;1;1;1;1;1;1;0;0;0
990317;8,47001E+12;CYTOTEC 200 MCG 40 COMP (MC);1;0;0;1;0;0;0;0;0;0;0;0;0
762331;8,47001E+12;DABIGATRAN CINFA 150MG 60CA;6;0;1;2;1;0;0;1;1;0;0;0;0
995233;8,47001E+12;DACORTIN 30 MG 30 COMP;13;1;1;1;0;1;2;3;0;1;1;0;2
739284;8,47001E+12;DACORTIN 5 MG 30 COMP;2;1;0;1;0;0;0;0;0;0;0;0;0
654860;8,47001E+12;DAFIRO HCT 516012.5 MG 28COM;1;0;0;0;0;0;0;0;1;0;0;0;0
816207;8,47001E+12;DAFLON 500 MG 30 COMP;8;3;0;0;0;0;1;1;0;0;3;0;0
655365;8,47001E+12;DAFLON 500 MG 60 COMP;28;1;1;0;3;3;5;3;5;5;1;0;1
