Código;Cód. Nacional;Descripción;Unidades;P.C.M.;P.C.M. Línea;P.V.P. Línea;P.V.P.;IVA;Caducidad;
8470007010067;701006;SIBILLA DIARIO 20.03MG 1X28CO;2;3,13;6,26;9,42;4,71;4,00;01/09/2028;
8470007010074;701007;SIBILLA DIARIO 20.03MG 3X28CO;1;9,65;9,65;14,14;14,14;4,00;01/09/2028;
8470001556929;155692;SIKENDIET DESAYUNO CACAO 400 G;2;23,27;46,54;71,90;35,95;10,00;01/10/2026;
8470001617828;161782;SIKENDIET DESAYUNO CAPUCC 400;1;23,27;23,27;35,95;35,95;10,00;01/07/2026;
ACOF0117;ACOF0117;SILDENAFIL0 100GRAMOS ACOFAR;1;98,82;98,82;0,00;0,00;4,00;01/06/2028;
8470007071778;707177;SILDENAFILO CINFA 100MG 4COM;1;5,24;5,24;15,69;15,69;4,00;01/06/2029;
8470007071709;707170;SILDENAFILO CINFA 50MG 2COM;3;3,88;11,64;37,05;12,35;4,00;01/12/2026;
8470007071723;707172;SILDENAFILO CINFA 50MG 8COM;1;8,93;8,93;26,77;26,77;4,00;01/12/2028;
8470007074113;707411;SILDENAFILO MAST CINFA100MG8CO;1;14,42;14,42;35,98;35,98;4,00;01/05/2027;
8470006652107;665210;SILDENAFILO NORMON 100MG 8 COM;1;8,38;8,38;31,38;31,38;4,00;01/10/2027;
8470006652039;665203;SILDENAFILO NORMON 25 MG 4 COM;1;1,91;1,91;9,51;9,51;4,00;01/01/2027;
8470006652060;665206;SILDENAFILO NORMON 50 MG 4 COM;1;2,80;2,80;13,97;13,97;4,00;01/09/2029;
8470006652077;665207;SILDENAFILO NORMON 50 MG 8 COM;1;5,36;5,36;26,77;26,77;4,00;01/04/2029;
8470007645498;764549;SILDENAFILO NORMON 50MG 12COM;1;7,21;7,21;35,98;35,98;4,00;01/04/2029;
8470007034834;703483;SIMBRINZA 10MGML+2MGML 5ML;1;12,33;12,33;18,06;18,06;4,00;01/08/2027;
8470006732199;673219;SIMVASTATINA CINFA 10MG28COM;2;0,33;0,66;1,90;0,95;4,00;01/07/2028;
8470006732212;673221;SIMVASTATINA CINFA 20MG28COM;2;0,54;1,08;3,16;1,58;4,00;01/07/2028;
8470006732182;673218;SIMVASTATINA CINFA 40MG28COM;2;0,72;1,44;4,34;2,17;4,00;01/07/2028;
8470006533437;653343;SIMVASTATINA KERN 20 MG 28 COM;1;1,08;1,08;1,58;1,58;4,00;01/03/2028;
8470007391517;739151;SIMVASTATINA NORMON 10 MG 28CO;1;0,45;0,45;0,95;0,95;4,00;01/10/2028;
8470007383109;738310;SIMVASTATINA NORMON 20 MG 28CO;2;0,74;1,48;3,16;1,58;4,00;01/11/2028;
8470007390602;739060;SIMVASTATINA NORMON 40 MG 28CO;1;1,01;1,01;2,17;2,17;4,00;01/04/2028;
8470006514603;651460;SIMVASTATINA RATIO 20 MG 28 CO;1;1,08;1,08;1,58;1,58;4,00;01/10/2028;
8470009264024;926402;SIMVASTATINA STADA 10 MG 28CO;1;0,65;0,65;0,95;0,95;4,00;01/03/2028;
8470009722401;972240;SIMVASTATINA STADA 20 MG 28CO;6;0,63;3,78;9,48;1,58;4,00;01/01/2028;
8470009757717;975771;SIMVASTATINA STADA 40 MG 28CO;3;0,84;2,52;6,51;2,17;4,00;01/06/2027;
8470007308911;730891;SIMVASTATINA VIATR 20MG 28CO;1;1,08;1,08;1,58;1,58;4,00;01/04/2027;
8470009815899;981589;SINDIAR 2MG 10CAP;1;2,77;2,77;6,90;6,90;4,00;01/03/2030;
8470009815974;981597;SINDIAR 2MG 20CAP;1;4,01;4,01;9,80;9,80;4,00;01/03/2030;
8470007005780;700578;SINEMET 25250 MG 120 CO;4;12,21;48,84;72,24;18,06;4,00;01/02/2027;
8470007005803;700580;SINEMET 25250 MG 60 CO;1;6,25;6,25;9,18;9,18;4,00;01/07/2027;
8470007005797;700579;SINEMET PLUS 10025 MG 100 CO;1;7,67;7,67;11,26;11,26;4,00;01/11/2028;
8470006547618;654761;SINEMET PLUS RET 25100MG100CO;2;10,49;20,98;31,22;15,61;4,00;01/02/2028;
8470006620564;662056;SINGULAIR 10 MG 28 COMP;2;13,11;26,22;42,12;21,06;4,00;01/05/2028;
8470003438636;343863;SINOMARIN NIÑOS 100 ML;1;8,59;8,59;12,95;12,95;21,00;01/07/2026;
8470001673732;167373;SINOMARIN ORL 200 ML;1;11,42;11,42;16,95;16,95;21,00;01/02/2028;
8470006541791;654179;SINTROM 4 MG 20 COM;2;2,89;5,78;8,50;4,25;4,00;31/12/2027;
8470006541777;654177;SINTROM UNO 1 MG 60 COM;1;1,59;1,59;2,33;2,33;4,00;01/09/2027;
8470009891374;989137;SIRDALUD 2 MG 30 COMP;1;2,50;2,50;3,68;3,68;4,00;01/10/2029;
8470009891459;989145;SIRDALUD 4 MG 30 COMP;1;4,01;4,01;5,89;5,89;4,00;01/05/2030;
8470007272540;727254;SLINDA 1X (24+4);1;11,74;11,74;17,95;17,95;4,00;01/07/2028;
8470007272571;727257;SLINDA 4MG 3X28COM;1;32,58;32,58;48,78;48,78;4,00;01/07/2028;
8470007188360;718836;SOFTACORT 3.35MGML 30X0.4ML;2;9,31;18,62;27,88;13,94;4,00;01/08/2027;
APOS2215;APOS2215;SOL ACUOSA EUCALIP APOSAN 10ML;1;4,16;4,16;6,95;6,95;21,00;01/11/2028;
8470002040243;204024;SOL FISIOLOG CINFA 30 UNIDOSIS;1;2,78;2,78;4,95;4,95;21,00;01/01/2028;
FARL6925;FARL6925;SOL UNICA AH FARLINEOPT2X60ML;1;2,97;2,97;4,95;4,95;10,00;01/06/2028;
8470008806669;880666;SOLIAN 200 MG 60 COMP;1;27,17;27,17;39,87;39,87;4,00;01/03/2028;
8470007213710;721371;SOLIFENACINA CINFA 10MG 30COMP;1;13,66;13,66;40,81;40,81;4,00;01/11/2026;
8470007615248;761524;SOLIFETAMSU CINFA 60.4MG30CO;1;10,06;10,06;30,07;30,07;4,00;01/02/2027;
8470005845845;584584;SOLIPHEN 60 MG 60 COM;1;20,66;20,66;29,95;29,95;10,00;01/06/2028;
8470001788917;178891;SOLUCION UNICA AH FARL OP2*500;1;8,36;8,36;11,95;11,95;10,00;01/06/2028;
8470001788672;178867;SOLUCION UNICA FARLINE OP2*360;1;6,27;6,27;8,95;8,95;10,00;01/06/2028;
8470007045571;704557;SOMAZINA 1000 MG 30 SOB;1;33,10;33,10;48,55;48,55;4,00;01/02/2027;
8470009929091;992909;SOMNOVIT 1 MG 30 COMP;1;2,35;2,35;3,45;3,45;4,00;01/05/2028;
8470007418542;741854;SONDELBAY 20MCG 80MICROL 2.4ML;1;196,76;196,76;252,16;252,16;4,00;01/08/2026;
8470006544006;654400;SOÑODOR 10 COMP;1;4,88;4,88;8,79;8,79;4,00;01/05/2027;
8470007066514;706651;SOOLANTRA 10 MGG CR 30 GR;1;24,56;24,56;35,98;35,98;4,00;01/09/2027;
8470001336071;133607;SORBITOL LIQUIDO 70% 250 G ACOFAR;2;8,31;16,62;0,00;0,00;21,00;01/01/2027;
8470009165857;916585;SPASMOCTYL 40 MG 60 GRAG;2;7,51;15,02;22,04;11,02;4,00;01/09/2028;
8470007011712;701171;SPEDRA 200 MG 4 COMP;1;25,56;25,56;37,47;37,47;4,00;01/05/2028;
DISM9403;DISM9403;SPIDERMAN ESTUCHE INFANTIL VASO+PASTA DE DIENTES+ CEPILLO;3;5,54;16,62;26,85;8,95;21,00;01/03/2028;
8470007267966;726796;SPIOLTO RESPIMAT 2.5MGR 60PUL;1;47,88;47,88;70,25;70,25;4,00;01/07/2027;
8470006566459;656645;SPIRAXIN 12 COMP;4;6,28;25,12;36,84;9,21;4,00;01/09/2028;
8470006548325;654832;SPIRIVA 18 MCG 30 CAPSULAS;1;26,76;26,76;39,25;39,25;4,00;01/03/2027;
8470002326866;232686;SQUANORM CH CASPA SECA 200 ML;1;12,53;12,53;18,95;18,95;21,00;01/04/2028;
8470001501134;150113;SRO FISIOL CINFA 40 MONOD 5 ML;1;3,27;3,27;5,95;5,95;21,00;01/05/2028;
8470009997922;999792;SRO FISIOL VITULIA 1000 ML;1;1,71;1,71;2,53;2,53;4,00;01/10/2028;
8470009997908;999790;SRO FISIOL VITULIA 250 ML;1;1,40;1,40;2,05;2,05;4,00;01/05/2028;
8470009997915;999791;SRO FISIOL VITULIA 500 ML;2;1,54;3,08;4,50;2,25;4,00;01/06/2028;
8470002687141;268714;SRO FISIOLOG CINFA 20 UNIDOSIS;1;2,04;2,04;3,95;3,95;21,00;01/06/2028;
8470008361632;836163;STALEVO 100 MG25 200MG 100CO;1;52,03;52,03;76,34;76,34;4,00;01/01/2028;
8470008368334;836833;STALEVO 150MG37.5 200MG 100CO;1;53,50;53,50;78,48;78,48;4,00;01/08/2028;
CANT5207;CANT5207;STANGEST CHAMPU PELO BLANCO 250ml;1;3,94;3,94;7,95;7,95;21,00;01/03/2028;
8470000158940;015894;STERICAN 30GX12 0.30X12 100U;29;0,04;1,16;7,25;0,25;10,00;01/08/2028;
