Código;Cód. Nacional;Descripción;Unidades;P.C.M.;P.C.M. Línea;P.V.P. Línea;P.V.P.;IVA;Caducidad;
8470006865804;686580;A A S 100 MG 30 COM;1;0,99;0,99;1,45;1,45;4,00;01/06/2027;
8470007006930;700693;AAS 500 MG 20 COMPRIMIDOS;1;1,70;1,70;2,50;2,50;4,00;01/08/2027;
8470007281962;728196;ABILIFY 10 MG 28 COMP;1;32,17;32,17;47,18;47,18;4,00;01/03/2027;
8470007207993;720799;ABILIFY 10 MG 28 COMP DIF;3;26,84;80,52;141,54;47,18;4,00;01/08/2027;
8470006516089;651608;ABILIFY 10 MG 28 COMP DISP;1;33,70;33,70;47,18;47,18;4,00;01/07/2026;
8470007208150;720815;ABILIFY 15 MG 28 COMP DIF;1;33,16;33,16;70,76;70,76;4,00;01/08/2027;
8470006527382;652738;ABILIFY 1MGML S OR 150ML;1;17,23;17,23;25,27;25,27;4,00;01/11/2027;
8470007281542;728154;ABILIFY 5 MG 28 COMP;1;16,08;16,08;23,59;23,59;4,00;01/04/2028;
ABOCA248;ABOCA248;ABOCA VITAMINA C NATURCOMPLEX PACK DUPLO 2x20 SOBRES 5 g;4;11,11;44,44;79,80;19,95;10,00;01/03/2028;
8470004784879;478487;ABS PANTS DIA MEDIANO 80UI;1;20,88;20,88;31,14;31,14;10,00;01/07/2027;
8470004762679;476267;ABS PANTS NOCHE GRANDE 80UI;1;21,82;21,82;43,91;43,91;10,00;01/12/2036;
8470004849721;484972;ABS PANTS NUDE NOCH GRD 80 UI;1;36,44;36,44;43,91;43,91;10,00;01/07/2027;
8470004694604;469460;ABS PANTS SNOCHE GRANDE 80UI;1;43,65;43,65;52,70;52,70;10,00;01/11/2027;
8470004921243;492124;ABS-ECO ANAT ELAST DIA GD 80U;1;25,99;25,99;31,14;31,14;10,00;01/12/2027;
8470004921328;492132;ABS-ECO ANAT ELAST DIA MD 80U;1;26,63;26,63;31,14;31,14;10,00;01/11/2032;
8470007102663;710266;AC ACETIL ARISTO 100MG 100COM;1;2,48;2,48;3,64;3,64;4,00;01/04/2028;
8470006629826;662982;AC ALENDRONICO CINFAMED70MG4CO;1;3,34;3,34;9,99;9,99;4,00;01/05/2028;
8470006610077;661007;AC ALENDRONICO NORMON 70MG 4CO;1;2,68;2,68;9,99;9,99;4,00;01/06/2027;
8470006835258;683525;AC IBANDRONICO NORMON 150MG 1C;1;6,09;6,09;13,00;13,00;4,00;01/11/2026;
8470007104377;710437;AC TRANEXAMICO TILLOMED500MG30;1;3,30;3,30;4,62;4,62;4,00;01/11/2027;
8470007007258;700725;ACALKA 1080 MG 100 COM;1;17,96;17,96;26,35;26,35;4,00;01/06/2027;
8470006639917;663991;ACECLOFENACO NORMON 100MG 20CO;1;1,33;1,33;2,83;2,83;4,00;01/02/2027;
8470006633618;663361;ACEDIUR 30 COMP;2;1,27;2,54;3,68;1,84;4,00;01/10/2028;
8470008662289;866228;ACEOTO PLUS GOT 10 ML;1;5,40;5,40;7,91;7,91;4,00;01/03/2027;
8470006504277;650427;ACETILCISTEINA CINF 200M 30S I;1;1,79;1,79;5,35;5,35;4,00;01/10/2027;
8470006543122;654312;ACETILCISTEINA CINF 600M 20C I;2;1,89;3,78;11,00;5,50;4,00;01/10/2028;
8470006504260;650426;ACETILCISTEINA CINF 600M 20S I;1;1,82;1,82;5,45;5,45;4,00;01/11/2027;
8470009395797;939579;ACFOL 5 MG 28 COMP;20;1,69;33,80;50,00;2,50;4,00;01/08/2030;
8470007291039;729103;ACICLOVIR NORMON 50 MG CR 15 G;1;6,77;6,77;14,47;14,47;4,00;01/03/2028;
8470006589144;658914;ACICLOVIR NORMON 50MG CR 2 G;1;1,86;1,86;3,98;3,98;4,00;01/08/2028;
8470007290957;729095;ACICLOVIR NORMON 800 MG 35COM;1;24,81;24,81;52,95;52,95;4,00;01/09/2027;
8470001307101;130710;ACIDO ACETICO GLACIAL 1 L ACOFAR;1;34,04;34,04;0,00;0,00;21,00;01/06/2029;
8470000837098;083709;ACIDO BORICO 50 G PROD QUIMICO;1;5,31;5,31;7,41;7,41;21,00;01/12/2029;
8470007655923;765592;ACIDO FOLICO ARISTO 5MG 84COM;1;4,74;4,74;6,95;6,95;4,00;01/05/2027;
8470007005056;700505;ACIDO FOLICO ASPOL 10MG 50CAP;1;5,64;5,64;8,27;8,27;4,00;01/09/2028;
8470001269799;126979;ACIDO SALICILICO 100 G META;1;6,20;6,20;8,74;8,74;21,00;01/12/2026;
8470003245913;324591;ACNIBEN LIMPIADOR PURIF 150;1;9,09;9,09;13,95;13,95;21,00;01/12/2026;
8470002000704;200070;ACNIBEN REPAIR GEL CR CALMA 40;1;16,41;16,41;23,95;23,95;21,00;01/12/2028;
8470001925312;192531;ACOFAR DISCOS SUPER ABSORBENTES DE LACTANCIA 36 UNIDADES;1;4,71;4,71;6,95;6,95;21,00;01/12/2026;
8470001903747;190374;ACOFAR KINESIOLOGY TAPE VENDAJE 1 UNIDAD 5 m x 5 cm COLOR AZUL;1;4,71;4,71;7,95;7,95;10,00;01/11/2026;
ACOF7958;ACOF7958;ACOFAR VIVERA FRESHMINT 18 PERLAS 1 UNIDAD;10;0,82;8,20;19,50;1,95;10,00;01/02/2027;
ACOF9349;ACOF9349;ACOFAR VIVERA GEL CERO FLOR AZAHAR 750ML;3;1,41;4,23;8,85;2,95;21,00;01/01/2028;
8470001025067;102506;ACOFAR VIVERA GEL CERO TRIPLO 3X750 ML;1;4,94;4,94;9,95;9,95;21,00;01/10/2027;
8470001535030;153503;ACOFARBABY ALIMENTADOR ANTIAHOGO;1;7,12;7,12;9,95;9,95;21,00;01/12/2030;
8470001662705;166270;ACOFARBABY PASTA AL AGUA 1 TUBO 75 ml;1;4,71;4,71;7,95;7,95;21,00;01/12/2026;
8470001617668;161766;ACOFARMA NESIRA AMPOLLAS ANTICAIDA FORTE 15 AMPOLLAS 5 ml;11;10,52;115,72;219,45;19,95;21,00;01/12/2028;
8470002030619;203061;ACOFARMA NESIRA DESODORANTE 1 ROLL ON 75 ml;2;2,57;5,13;9,90;4,95;21,00;01/05/2030;
8470002009394;200939;ACOFARMA NESIRA GEL ACEITE OLIVA/OMEGA 1 ENVASE 750 ml;1;2,12;2,12;2,95;2,95;21,00;01/02/2027;
8470002018112;201811;ACOFARMA NESIRA GEL ALOE VERA + VITAMINA E 1 BOTELLA 1 l;1;1,36;1,36;3,95;3,95;21,00;01/05/2028;
8470002009332;200933;ACOFARMA NESIRA GEL CERO 1 ENVASE 750 ml CAMOMILA;5;1,41;7,05;14,75;2,95;21,00;01/02/2028;
8470002009295;200929;ACOFARMA NESIRA GEL COCO 1 ENVASE 750 ml;2;1,43;2,86;5,90;2,95;21,00;01/01/2028;
8470002009387;200938;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ml ALGAS Y COLAGENO MARINO;2;1,41;2,82;5,90;2,95;21,00;01/11/2026;
8470002009370;200937;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ml EXTRACTO DE GRANADA;1;2,07;2,07;2,95;2,95;21,00;01/11/2026;
8470002009325;200932;ACOFARMA NESIRA GEL DERMATOLOGICO CERO 1 ENVASE 750 ml ORIGINAL;1;1,87;1,87;2,95;2,95;21,00;01/02/2028;
8470002009509;200950;ACOFARMA NESIRA JABON DE MANOS ACEITE DE OLIVA 1 ENVASE 500 ml;1;1,48;1,48;2,95;2,95;21,00;01/12/2028;
8470002009523;200952;ACOFARMA NESIRA JABON DE MANOS EXTRACTO DE GRANADA 1 ENVASE 500 ml;1;1,26;1,26;2,95;2,95;21,00;01/12/2028;
8470002009547;200954;ACOFARMA NESIRA JABON MANOS CERO 1 ENVASE 500 ml;2;1,16;2,32;5,90;2,95;21,00;01/12/2050;
8470001988751;198875;ACOFARMA NESIRA JABON PASTILLA DE MANOS 1 ENVASE 100 g AROMA FLOR DE LOTO;2;1,09;2,18;5,90;2,95;21,00;01/12/2029;
8470001988775;198877;ACOFARMA NESIRA JABON PASTILLA DE MANOS 1 ENVASE 100 g AROMA LIRIO DE AGUA;3;1,43;4,29;8,85;2,95;21,00;01/12/2028;
8470001988768;198876;ACOFARMA NESIRA JABON PASTILLA MANOS 1 ENVASE 100 g AROMA ROSA CORAL;2;1,63;3,26;5,90;2,95;21,00;01/02/2030;
8470001721044;172104;ACOFARMA NESIRA MELATONINA 1,95 mg 60 COMPRIMIDOS;1;7,08;7,08;11,95;11,95;10,00;01/01/2028;
8470001976499;197649;ACOFARMA NESIRA SPF 15 PROTECTOR LABIAL 1 ENVASE 4,5 g;2;1,91;3,82;7,90;3,95;21,00;01/01/2028;
8470001985637;198563;ACOFARMA NESIRA SPF 50+ PROTECTOR LABIAL 1 ENVASE 5 g;3;2,32;6,96;13,50;4,50;21,00;01/01/2028;
8470001849274;184927;ACOFARMA NESIRA SUEÑO 30 COMPRIMIDOS;1;6,67;6,67;9,95;9,95;10,00;01/04/2028;
8470001964717;196471;ACOFARMA NESIRA TOALLITAS PARA HIGIENE OCULAR 30 UNIDADES;1;5,59;5,59;8,95;8,95;21,00;01/01/2028;
8470001991102;199110;ACOFARMA VIVERA CREMA DE MANOS 1 ENVASE 30 ml AROMA FLOR FRESCA DE TE;1;1,86;1,86;3,95;3,95;21,00;01/09/2028;
8470001881717;188171;ACOFARVITAL SOLAR INTENSIVE 60 COMPRIMIDOS;1;13,89;13,89;19,95;19,95;10,00;01/12/2026;
8470007726814;772681;ACOVIL 2.5 MG 28 COMP;1;1,70;1,70;2,50;2,50;4,00;01/12/2027;
8470007726654;772665;ACOVIL 5 MG 28 COMP;1;3,30;3,30;4,84;4,84;4,00;01/12/2027;
8470006641606;664160;ACOXXEL 60 MG 28 COMP;1;7,34;7,34;10,74;10,74;4,00;01/09/2027;
8470006641613;664161;ACOXXEL 90 MG 28 COMP;1;10,94;10,94;16,11;16,11;4,00;30/04/2027;
8470009605186;960518;ACTIMAG SOL 100 CC;2;12,18;24,36;35,74;17,87;4,00;01/03/2029;
8470007012849;701284;ACTITHIOL MUCO ANTIHIS SOL200M;1;6,07;6,07;10,32;10,32;4,00;01/02/2028;
8470007532859;753285;ACTIVELLE 28 COMP;2;6,91;13,82;20,26;10,13;4,00;01/08/2027;
8470006607305;660730;ACTONEL 75 MG 2 COMP;1;14,49;14,49;21,26;21,26;4,00;01/04/2029;
8470007213994;721399;ACTONEL SEMANAL 35 MG 4 COMP;1;13,53;13,53;19,84;19,84;4,00;01/03/2030;
8470007155782;715578;ACTONEL SEMANAL 35MG 4COM GAST;1;13,53;13,53;19,84;19,84;4,00;01/05/2030;
8470007233589;723358;ACTROMADOL 660 MG 8 COMP;1;4,15;4,15;6,53;6,53;4,00;01/02/2028;
8470009549251;954925;ACTRON COMPUESTO 20 COMP EFER;1;7,29;7,29;11,41;11,41;4,00;01/10/2027;
8470006684672;668467;ACULAR COLI 5 ML;1;3,53;3,53;5,18;5,18;4,00;01/01/2028;
8470002044357;204435;ACUMAX CAPS 30;1;17,46;17,46;24,95;24,95;10,00;01/06/2027;
8470007300533;730053;ADALAT OROS 30 MG 28 COM;2;2,55;5,10;7,46;3,73;4,00;01/03/2028;
8470007660019;766001;ADENURIC 80 MG 28 COM;1;9,02;9,02;13,22;13,22;4,00;01/09/2028;
8470007153412;715341;ADIAVAL 1000MG880UI 30 COM;1;5,42;5,42;7,93;7,93;4,00;01/08/2027;
8470007237983;723798;ADIRO 100 MG 30COMPR (EFG);60;0,94;56,40;87,00;1,45;4,00;01/06/2030;
KAWU3262;KAWU3262;ADO QUATRO 70 ML;1;10,14;10,14;14,95;14,95;21,00;01/04/2027;
8470000094514;009451;ADOLAC 125 ML;1;7,91;7,91;12,95;12,95;21,00;01/07/2026;
8470006586686;658668;ADOLONTA RETARD 50 MG 20 COM;1;1,70;1,70;2,50;2,50;4,00;01/01/2028;
8470006586693;658669;ADOLONTA RETARD 50 MG 60 COM;1;4,23;4,23;6,21;6,21;4,00;01/06/2027;
8470006541876;654187;ADRENALINA LEVEL JGA 1 ML;1;3,44;3,44;5,04;5,04;4,00;01/07/2027;
8470006589533;658953;ADVAGRAF 0.5 MG 30 CAPS;1;13,48;13,48;18,87;18,87;4,00;01/08/2027;
8470006589564;658956;ADVAGRAF 1 MG 60 CAPS;1;51,44;51,44;75,46;75,46;4,00;01/10/2027;
8470006629154;662915;ADVAGRAF 3 MG 30 CAPS;1;80,85;80,85;113,19;113,19;4,00;01/09/2027;
8470006589571;658957;ADVAGRAF 5 MG 30 CAPS;1;122,32;122,32;173,43;173,43;4,00;01/08/2027;
8470005700526;570052;ADVANTIX < 4 KG 4 PIPETAS;1;24,76;24,76;36,95;36,95;10,00;01/11/2027;
8470005700625;570062;ADVANTIX > 25 KG 4 PIPETAS;1;31,98;31,98;46,95;46,95;10,00;01/10/2027;
8470005702377;570237;ADVANTIX 10-25 KG 4 PIPETAS;1;33,74;33,74;43,95;43,95;10,00;01/08/2027;
8470007432296;743229;ADVENTAN 0.1% CR 60 G;1;7,12;7,12;10,44;10,44;4,00;01/07/2028;
8470008046331;804633;ADVENTAN 0.1% EMULSION 50 G;1;5,95;5,95;8,71;8,71;4,00;01/03/2028;
8470007432371;743237;ADVENTAN 0.1% PDA 30 G;1;3,56;3,56;5,23;5,23;4,00;01/10/2026;
8470006591758;659175;AERIUS 0.5MGML SOL ORAL 120ML;1;2,48;2,48;3,98;3,98;4,00;01/04/2027;
8470009385484;938548;AERIUS 5 MG 20 COMP;2;4,13;8,26;13,26;6,63;4,00;01/01/2027;
8470006637289;663728;AERO RED 120 MG 40 COMP;1;6,94;6,94;11,32;11,32;4,00;01/09/2028;
8470007019619;701961;AERO RED 40 MG 100 COMP;1;7,23;7,23;11,32;11,32;4,00;01/10/2030;
8470007019794;701979;AERO RED 40 MG 30 COMP;1;4,84;4,84;7,57;7,57;4,00;01/04/2030;
8470006982778;698277;AERO RED FORTE 240 MG 20 CAPS;1;7,73;7,73;12,10;12,10;4,00;01/09/2028;
8470006519622;651962;AFLOYAN 30 MG 30 COMP;1;11,63;11,63;17,05;17,05;4,00;01/07/2026;
8470007236924;723692;AFLUON COLIRIO 6 ML;1;4,00;4,00;5,87;5,87;4,00;01/01/2028;
8470007415206;741520;AFLUON SPRAY NASAL 10 ML;1;5,31;5,31;6,34;6,34;4,00;01/07/2027;
8470006506226;650622;AFLUON SPRAY NASAL 20 ML;1;7,72;7,72;11,33;11,33;4,00;01/11/2026;
8470001700490;170049;AFTER BITE ORIGIN ROLL ON 14ML;1;6,89;6,89;9,95;9,95;21,00;01/07/2026;
8470001509529;150952;AFTEX COLUTORIO 150 ML;1;10,50;10,50;15,95;15,95;21,00;01/02/2028;
8470009604271;960427;AGIOLAX GDO 250 G;1;8,95;8,95;13,77;13,77;4,00;01/12/2027;
8470002422636;242263;AGUA DE ROSAS PEDEMONT 500ML*;1;5,68;5,68;8,95;8,95;21,00;01/09/2029;
8470001102836;110283;AGUA DESTILADA ACOFAR 5 LITRO;1;3,68;3,68;5,95;5,95;21,00;01/11/2028;
8470001957658;195765;AGUA DESTILADA INTERAPOTHEK 1 ENVASE 1000 ml;1;1,53;1,53;2,95;2,95;21,00;01/12/2028;
8470001843739;184373;AGUA OXIGENADA RF APOSAN 500;1;1,21;1,21;2,95;2,95;10,00;01/01/2030;
8470002528826;252882;AGUA TERMAL ROCHE POSAY 150 ML;1;8,57;8,57;12,95;12,95;21,00;01/12/2027;
ROCH4131;ROCH4131;AGUA TERMAL ROCHE POSAY 300 ML;2;11,40;22,80;35,90;17,95;21,00;01/05/2027;
8470000325847;032584;AGUJA 0,3X13 30G 1/2 1UD;77;0,15;11,80;19,25;0,25;21,00;01/02/2028;
8470003793476;379347;AGUJA ESTERIL ICO 16X5 LUER;3;0,13;0,39;1,20;0,40;21,00;01/02/2028;
8470003794466;379446;AGUJA ESTERIL ICO 40X8 LUER;56;0,21;11,61;22,40;0,40;21,00;01/12/2027;
BD51259;BD5125;AGUJAS 0.25X5 MM 100 UN;100;0,08;8,00;20,00;0,20;10,00;01/08/2030;
8470007041955;704195;AIDESSIA 0.150.02MG21C;1;1,96;1,96;2,93;2,93;4,00;01/06/2027;
8470001647603;164760;AINARA GEL HIDRAT VAGINAL 30 G;1;16,25;16,25;16,95;16,95;21,00;01/10/2027;
8470008852857;885285;AIRTAL 100 MG 40 COMP;1;3,86;3,86;5,65;5,65;4,00;01/09/2028;
8470008038176;803817;AKINETON 2 MG 20 TABL;1;1,17;1,17;1,75;1,75;4,00;01/01/2028;
8470008598922;859892;AKINETON 2 MG 50 COMP;1;2,15;2,15;3,15;3,15;4,00;01/07/2026;
8470007007135;700713;AKINETON RET 4 MG 20 COM;2;2,02;4,04;5,90;2,95;4,00;01/07/2029;
8470007007142;700714;AKINETON RET 4 MG 50 COM;1;3,54;3,54;5,21;5,21;4,00;01/12/2029;
8470002550674;255067;ALCOHOL 70 APOSAN 250 ML;1;1,05;1,05;1,95;1,95;10,00;01/04/2030;
8470002199316;219931;ALCOHOL 96 APOSAN 1000 ML;2;4,52;9,04;11,90;5,95;10,00;01/03/2028;
8470002199231;219923;ALCOHOL 96 APOSAN 250 ML;1;1,15;1,15;2,95;2,95;10,00;01/08/2030;
8470001685391;168539;ALCOHOL 96 APOSAN 500 ML;1;2,66;2,66;3,95;3,95;10,00;01/04/2030;
8470003485654;348565;ALCOHOL 96º ACOFAR 1 FRASCO 250 ml;1;1,07;1,07;2,95;2,95;10,00;01/10/2029;
8470001682123;168212;ALCOHOL DE ROMERO APOSAN 250ML;1;1,82;1,82;2,95;2,95;21,00;01/02/2030;
8470007650829;765082;ALCOSIN 20MG 30COM;1;1,08;1,08;1,58;1,58;4,00;01/09/2028;
8470007373384;737338;ALDACTONE 100 MG 20 COMP;2;1,70;3,40;5,00;2,50;4,00;01/09/2030;
8470007029519;702951;ALDACTONE A 25 MG 20 COMP;2;1,56;3,12;4,58;2,29;4,00;01/05/2030;
8470007029694;702969;ALDACTONE A 25 MG 50 COMP;1;1,70;1,70;2,50;2,50;4,00;01/09/2030;
8470006542378;654237;ALDOMET 250 MG 60 TABL;1;3,77;3,77;5,54;5,54;4,00;01/01/2027;
8470007037446;703744;ALERCINA 7 COMP;1;2,14;2,14;6,40;6,40;4,00;01/09/2027;
8470007032151;703215;ALERGICAL CR 30 G;5;6,84;34,20;57,35;11,47;4,00;01/01/2027;
8470009918859;991885;ALERLISIN 10 MG 20 COMP;1;2,13;2,13;3,12;3,12;4,00;01/10/2030;
8470001528346;152834;ALGASIV DENTADURA SUPERIOR 30U;1;7,41;7,41;10,95;10,95;10,00;01/11/2026;
8470007018476;701847;ALGI MABO 500 MG 12 CAPS;1;1,22;1,22;1,80;1,80;4,00;01/09/2028;
8470006561249;656124;ALGI MABO 500 MG 20 CAPS;2;1,70;3,40;5,00;2,50;4,00;01/09/2028;
8470007415121;741512;ALGIDOL 12 SOBR;13;1,47;19,11;30,29;2,33;4,00;01/01/2030;
8470007703709;770370;ALGIDOL 20 SOBRES;5;2,19;10,95;16,70;3,34;4,00;01/05/2030;
8470004839821;483982;ALGODON APOSAN ARROLL PURO 250;1;1,19;1,19;1,65;1,65;10,00;01/10/2027;
8470002265974;226597;ALGODON ARROLL LUSAN 100 G;1;1,44;1,44;3,51;3,51;10,00;01/06/2029;
8470004544213;454421;ALGODON ZIGZAG APOSAN 100 G;1;0,59;0,59;0,79;0,79;10,00;01/06/2030;
8470006728420;672842;ALIPZA 1 MG 28 COMP;1;3,54;3,54;5,35;5,35;4,00;01/10/2027;
8470006728260;672826;ALIPZA 2 MG 28 COMP;1;7,29;7,29;10,69;10,69;4,00;01/01/2030;
8470002047037;204703;ALIVIOLAS FISIOLAX 90 COMP;2;11,54;23,08;35,90;17,95;10,00;01/11/2027;
8470007299387;729938;ALMAGATO STADAPHARM 1.5G 24STI;2;6,56;13,12;27,16;13,58;4,00;01/10/2026;
ALMI6898;ALMI6898;ALMANATUR MELOCOTON 20 SOBRES;3;8,93;26,79;44,85;14,95;10,00;01/10/2027;
ALMI6904;ALMI6904;ALMANATUR MENTA 40 COMP;6;8,93;53,58;89,70;14,95;10,00;01/11/2027;
8470007273554;727355;ALMAX 500 MG 18 COMP MAST;1;6,67;6,67;9,96;9,96;4,00;01/04/2030;
8470007111832;711183;ALMAX 500 MG 24 COMP;1;7,35;7,35;10,97;10,97;4,00;01/10/2030;
8470007111863;711186;ALMAX 500 MG 48 COMP;1;9,71;9,71;14,50;14,50;4,00;01/09/2030;
8470007273561;727356;ALMAX 500 MG 54 COMP MAST;1;8,59;8,59;14,96;14,96;4,00;01/04/2030;
8470007111856;711185;ALMAX FORTE 1.5 G 12 SOBRES;2;7,32;14,64;24,00;12,00;4,00;01/05/2030;
8470007111870;711187;ALMAX FORTE 1.5 G 24 SOBRES;1;11,35;11,35;16,95;16,95;4,00;01/08/2030;
8470007634072;763407;ALMAX FORTE 750 MG 24 COMP;1;7,84;7,84;12,00;12,00;4,00;01/02/2029;
8470007634089;763408;ALMAX FORTE 750 MG 48 COMP;1;9,64;9,64;16,95;16,95;4,00;01/10/2028;
8470007634065;763406;ALMAX FORTE COLA 750MG 48COM;1;9,64;9,64;16,95;16,95;4,00;01/12/2028;
8470007634119;763411;ALMAX FORTE FRESA 750MG 48COM;1;11,01;11,01;16,95;16,95;4,00;01/08/2029;
8470001949035;194903;ALMIRON ADVANCE 1 1200G;1;29,55;29,55;49,95;49,95;10,00;Sin Fecha Cad.;
8470001948595;194859;ALMIRON ADVANCE 2 1200G;1;25,27;25,27;35,95;35,95;10,00;Sin Fecha Cad.;
8470008495962;849596;ALMOGRAN 12.5 MG 4 COMP;1;13,06;13,06;19,53;19,53;4,00;01/05/2029;
8470008497034;849703;ALMOGRAN 12.5 MG 9 COMP;1;29,93;29,93;43,94;43,94;4,00;01/06/2030;
8470001827241;182724;ALMOHADA ELECTRICA APOSAN;1;24,46;24,46;36,95;36,95;21,00;01/02/2027;
8470007288350;728835;ALMOTRIPTAN NORMON 12.5MG 9COM;1;20,59;20,59;43,94;43,94;4,00;01/07/2028;
8470006983775;698377;ALMOTRIPTAN NORMON 12.5MG6CO;1;13,73;13,73;29,30;29,30;4,00;01/06/2027;
8470007279112;727911;ALNEO 5MG 28COM;1;40,65;40,65;59,63;59,63;4,00;01/07/2028;
8470001520517;152051;ALOCLAIR PLUS SPRAY 15 ML;1;11,28;11,28;16,95;16,95;21,00;01/11/2027;
8470001691002;169100;ALOE VERA 500 MG 60 COMP;1;6,43;6,43;9,95;9,95;10,00;Sin Fecha Cad.;
8470007255772;725577;ALOPURINOL CINFA 100MG100COM;1;1,67;1,67;3,12;3,12;4,00;01/10/2030;
8470008904266;890426;ALOPURINOL NORMON 100 MG 100 C;2;1,46;2,92;6,24;3,12;4,00;01/11/2028;
8470008905331;890533;ALOPURINOL NORMON 300 MG 30 CO;1;1,32;1,32;2,81;2,81;4,00;01/08/2028;
8470006537343;653734;ALPHAGAN SOLU OFTAL 0.2% 5 ML;1;4,98;4,98;7,31;7,31;4,00;31/01/2028;
8470009764234;976423;ALPRAZOLAM CINFA 0.25MG 30 COM;2;0,65;1,30;3,28;1,64;4,00;01/06/2027;
8470008327584;832758;ALPRAZOLAM CINFA 0.50MG 30 COM;2;0,71;1,42;4,22;2,11;4,00;01/12/2027;
8470008322794;832279;ALPRAZOLAM CINFA 1 MG 30 COMP;1;1,12;1,12;2,50;2,50;4,00;01/07/2027;
8470008328406;832840;ALPRAZOLAM NORMON 0.25 MG 30CO;1;0,54;0,54;1,64;1,64;4,00;01/12/2029;
8470008331789;833178;ALPRAZOLAM NORMON 0.5 MG 30 CO;1;0,70;0,70;2,11;2,11;4,00;01/10/2030;
8470008332106;833210;ALPRAZOLAM NORMON 1 MG 30 COMP;1;0,84;0,84;2,50;2,50;4,00;01/06/2030;
8470008332281;833228;ALPRAZOLAM NORMON 2 MG 30 COMP;1;3,32;3,32;4,84;4,84;4,00;01/01/2028;
8470008332519;833251;ALPRAZOLAM NORMON 2 MG 50 COMP;1;2,70;2,70;8,07;8,07;4,00;01/01/2028;
8470006567142;656714;ALTELLUS 0.3 AD 2 ML JGA;1;43,63;43,63;64,00;64,00;4,00;01/08/2026;
8470001904119;190411;ALUNEB DISPOSITIVO NEB NASAL;1;8,86;8,86;12,95;12,95;21,00;01/05/2028;
8470001904096;190409;ALUNEB HIPEROTONICO 20 VIAL5ML;1;9,50;9,50;15,95;15,95;21,00;01/11/2027;
8470001904102;190410;ALUNEB ISOTONICO 15 VIAL 4ML;1;7,89;7,89;14,95;14,95;21,00;01/07/2028;
8470001904140;190414;ALUNEB KIT ISOTONIC 15VIAL 4ML;1;11,80;11,80;18,95;18,95;21,00;01/08/2027;
8470007588429;758842;ALZERTA DOS 4.6 MG24 H 16 PAR;1;42,21;42,21;61,93;61,93;4,00;01/02/2027;
8470007161998;716199;ALZIL 10 MG 28 COM;1;6,50;6,50;9,52;9,52;4,00;30/06/2028;
8470007161981;716198;ALZIL 5 MG 28 COM;1;3,24;3,24;4,76;4,76;4,00;01/05/2028;
8470007291961;729196;ALZIL PLUS 2010 MG 30 COM;1;10,86;10,86;15,92;15,92;4,00;01/12/2026;
8470007291985;729198;ALZIL PLUS 510MG 30 COMP;1;10,86;10,86;15,92;15,92;4,00;01/03/2028;
8470007227014;722701;AMANTADINE LEVEL 100 MG 20 CAP;1;3,22;3,22;4,73;4,73;4,00;01/04/2030;
8470006737804;673780;AMARYL 2 MG 120 COMP;1;6,95;6,95;10,18;10,18;4,00;01/04/2028;
8470008723904;872390;AMBROXOL NORMON JBE 200 ML;1;2,06;2,06;4,40;4,40;4,00;01/11/2028;
8470007005063;700506;AMCHAFIBRIN 500MG 6X5 ML;1;3,93;3,93;5,78;5,78;4,00;01/11/2029;
8470007047759;704775;AMERIDE 5-50 MG 20 TABL;1;1,70;1,70;2,50;2,50;4,00;01/09/2027;
KE805256;KE805256;AMINOACIDOS RAMIFICADOS - BCAA'S KEEP GOING;1;16,38;16,38;24,95;24,95;10,00;01/03/2027;
8470008703371;870337;AMLODIPINO ALTER 5 MG 30 COMP;1;0,87;0,87;1,25;1,25;4,00;01/01/2027;
8470006533987;653398;AMLODIPINO CINFA 10 MG 30 COM;1;1,34;1,34;2,50;2,50;4,00;01/08/2028;
8470006533970;653397;AMLODIPINO CINFA 5 MG 30 COM;2;0,67;1,34;2,50;1,25;4,00;01/06/2028;
8470006641569;664156;AMLODIPINO MABO BD 5 MG 30 CO;1;1,70;1,70;2,50;2,50;4,00;01/07/2026;
8470006582190;658219;AMLODIPINO NORMON 10 MG 30 COM;2;0,84;1,68;5,00;2,50;4,00;01/09/2027;
8470006582183;658218;AMLODIPINO NORMON 5 MG 30 COM;2;0,42;0,84;2,50;1,25;4,00;01/10/2027;
8470007050131;705013;AMLODIPINO STADA 5MG 30COM;1;0,77;0,77;1,25;1,25;4,00;01/08/2029;
8470006888575;688857;AMLODIPINO TEVAGEN 5MG30COMP;1;0,67;0,67;1,25;1,25;4,00;01/01/2027;
8470007649793;764979;AMLODIPINO VIR 10MG 28COM;1;1,59;1,59;2,33;2,33;4,00;01/02/2028;
8470006584033;658403;AMLODIPINO VIR 5 MG 28 COM;1;1,38;1,38;2,01;2,01;4,00;01/05/2028;
8470007289364;728936;AMLVAL HCTZ NO1016012.5MG28;2;6,61;13,22;28,22;14,11;4,00;01/03/2027;
8470006947258;694725;AMOX NORMON 250MG5MLSUSP40ML;1;1,08;1,08;2,14;2,14;4,00;01/01/2028;
8470006935002;693500;AMOXCLAV NORM 875125MG 20COM;4;2,99;11,96;27,24;6,81;4,00;01/04/2027;
8470006934982;693498;AMOXCLAV NORM 875125MG 30COM;2;5,13;10,26;20,42;10,21;4,00;01/11/2027;
