COD_N4,N4_SUBG_QUIMICO_TERAP_FARMAT,COD_N3,N3_SUBG_TERAP_FARMAT,COD_N2,N2_SBG_TERAP_PPAL,COD_N1,N1_GRUPO_ANATOMICO
A05BA,Terapia hepática,A05B,"Terapia hepática, lipotrópicos",A05,Terapia biliar y hepática,A,Tracto alimentario y metabolismo
A05C P2,Otros agentes,A05C,Fármacos para terapia biliar y lipotrópicos en combinación,A05,Terapia biliar y hepática,A,Tracto alimentario y metabolismo
A06AA,"Suavizantes, emolientes",A06A,Agentes contra el estreñimiento,A06,Agentes contra el estreñimiento,A,Tracto alimentario y metabolismo
A06AB,Laxantes de contacto,A06A,Agentes contra el estreñimiento,A06,Agentes contra el estreñimiento,A,Tracto alimentario y metabolismo
A06AC,Laxantes formadores de volumen,A06A,Agentes contra el estreñimiento,A06,Agentes contra el estreñimiento,A,Tracto alimentario y metabolismo
A06AD,Laxantes de mecanismo osmótico,A06A,Agentes contra el estreñimiento,A06,Agentes contra el estreñimiento,A,Tracto alimentario y metabolismo
A06AG,Enemas,A06A,Agentes contra el estreñimiento,A06,Agentes contra el estreñimiento,A,Tracto alimentario y metabolismo
A06AH,Antagonistas del receptor opioide periférico,A06A,Agentes contra el estreñimiento,A06,Agentes contra el estreñimiento,A,Tracto alimentario y metabolismo
A06AX,Otros agentes contra el estreñimiento,A06A,Agentes contra el estreñimiento,A06,Agentes contra el estreñimiento,A,Tracto alimentario y metabolismo
A07AA,Antibióticos,A07A,Antiinfecciosos intestinales,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07AB,Sulfonamidas,A07A,Antiinfecciosos intestinales,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07AX,Otros antiinfecciosos intestinales,A07A,Antiinfecciosos intestinales,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07BA,Preparados con carbón,A07B,Adsorbentes intestinales,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07BB,Preparados de bismuto,A07B,Adsorbentes intestinales,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07BC,Otros adsorbentes intestinales,A07B,Adsorbentes intestinales,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07CA,Formulaciones de sales de rehidratación oral,A07C,Electrolitos con hidratos de carbono,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07DA,Antipropulsivos,A07D,Antipropulsivos,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07EA,Corticosteroides de acción local,A07E,Antiinflamatorios intestinales,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07EB,"Antialérgicos, excl. corticosteroides",A07E,Antiinflamatorios intestinales,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07EC,Aminosalicílico ácido y agentes similares,A07E,Antiinflamatorios intestinales,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07FA,Microorganismos antidiarreicos,A07F,Microorganismos antidiarreicos,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A07XA,Otros antidiarreicos,A07X,Otros antidiarreicos,A07,"Antidiarreicos, antiinfecciosos y antiinflamatorios intestinales",A,Tracto alimentario y metabolismo
A08A P1,Preparados antiobesidad con diurético,A08A,"Preparados antiobesidad, excl. productos dietéticos",A08,"Preparados antiobesidad, excl. productos dietéticos",A,Tracto alimentario y metabolismo
A08AA,Preparados antiobesidad de acción central,A08A,"Preparados antiobesidad, excl. productos dietéticos",A08,"Preparados antiobesidad, excl. productos dietéticos",A,Tracto alimentario y metabolismo
A08AB,Productos antiobesidad de acción periférica,A08A,"Preparados antiobesidad, excl. productos dietéticos",A08,"Preparados antiobesidad, excl. productos dietéticos",A,Tracto alimentario y metabolismo
A08AX,Otros medicamentos antiobesidad,A08A,"Preparados antiobesidad, excl. productos dietéticos",A08,"Preparados antiobesidad, excl. productos dietéticos",A,Tracto alimentario y metabolismo
A09AA,Preparados enzimáticos,A09A,"Digestivos, incl. enzimas",A09,"Digestivos, incl. enzimas",A,Tracto alimentario y metabolismo
A10AB,Insulinas y análogos de acción rápida para inyección,A10A,Insulinas y análogos,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10AC,Insulinas y análogos de acción intermedia para inyección,A10A,Insulinas y análogos,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10AD,Insulinas y análogos para inyección de acción intermedia o prolongada combinadas con acción rápida,A10A,Insulinas y análogos,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
