COD_N4,N4_SUBG_QUIMICO_TERAP_FARMAT,COD_N3,N3_SUBG_TERAP_FARMAT,COD_N2,N2_SBG_TERAP_PPAL,COD_N1,N1_GRUPO_ANATOMICO
C03AX,"Tiazidas, asociaciones con otros medicamentos",C03A,"Diuréticos de techo bajo, tiazidas",C03,Diuréticos,C,Sistema cardiovascular
C03BA,"Sulfonamidas, monofármacos",C03B,"Diuréticos de techo bajo, excl. tiazidas",C03,Diuréticos,C,Sistema cardiovascular
C03BX,Otros diuréticos de techo bajo,C03B,"Diuréticos de techo bajo, excl. tiazidas",C03,Diuréticos,C,Sistema cardiovascular
C03CA,"Sulfonamidas, monofármacos",C03C,Diuréticos de techo alto,C03,Diuréticos,C,Sistema cardiovascular
C03DA,Antagonistas de la aldosterona,C03D,Antagonistas de la aldosterona y otros agentes ahorradores de potasio,C03,Diuréticos,C,Sistema cardiovascular
C03DB,Otros agentes ahorradores de potasio,C03D,Antagonistas de la aldosterona y otros agentes ahorradores de potasio,C03,Diuréticos,C,Sistema cardiovascular
C03EA,Diuréticos de techo bajo y agentes ahorradores de potasio,C03E,Diuréticos y agentes ahorradores de potasio en asociación,C03,Diuréticos,C,Sistema cardiovascular
C03EB,Diuréticos de techo alto y agentes ahorradores de potasio,C03E,Diuréticos y agentes ahorradores de potasio en asociación,C03,Diuréticos,C,Sistema cardiovascular
C03X M1,Urea,C03X,Otros diuréticos,C03,Diuréticos,C,Sistema cardiovascular
C03X P1,Centaura menor + levistico + romero,C03X,Otros diuréticos,C03,Diuréticos,C,Sistema cardiovascular
C03X P2,Equisetum arvense + extos. vegetales,C03X,Otros diuréticos,C03,Diuréticos,C,Sistema cardiovascular
C03XA,Antagonistas de la vasopresina,C03X,Otros diuréticos,C03,Diuréticos,C,Sistema cardiovascular
C04A M1,Diisopropilamina,C04A,Vasodilatadores periféricos,C04,Vasodilatadores periféricos,C,Sistema cardiovascular
C04AA,Derivados de 2-amino-1-feniletanol,C04A,Vasodilatadores periféricos,C04,Vasodilatadores periféricos,C,Sistema cardiovascular
C04AB,Derivados de imidazolidina,C04A,Vasodilatadores periféricos,C04,Vasodilatadores periféricos,C,Sistema cardiovascular
C04AD,Derivados purínicos,C04A,Vasodilatadores periféricos,C04,Vasodilatadores periféricos,C,Sistema cardiovascular
C04AE,Alcaloides del ergot,C04A,Vasodilatadores periféricos,C04,Vasodilatadores periféricos,C,Sistema cardiovascular
C04AX,Otros vasodilatadores periféricos,C04A,Vasodilatadores periféricos,C04,Vasodilatadores periféricos,C,Sistema cardiovascular
C05AA,Corticosteroides,C05A,Agentes de uso tópico para el tratamiento de hemorroides y fisuras anales,C05,Vasoprotectores,C,Sistema cardiovascular
C05AD,Anestésicos locales,C05A,Agentes de uso tópico para el tratamiento de hemorroides y fisuras anales,C05,Vasoprotectores,C,Sistema cardiovascular
C05AE,Relajantes musculares,C05A,Agentes de uso tópico para el tratamiento de hemorroides y fisuras anales,C05,Vasoprotectores,C,Sistema cardiovascular
C05AX,Otros agentes de uso tópico para el tratamiento de hemorroides y fisuras anales,C05A,Agentes de uso tópico para el tratamiento de hemorroides y fisuras anales,C05,Vasoprotectores,C,Sistema cardiovascular
C05BA,Heparinas o heparinoides para uso tópico,C05B,Terapia antivaricosa,C05,Vasoprotectores,C,Sistema cardiovascular
C05BB,Esclerosantes para inyección local,C05B,Terapia antivaricosa,C05,Vasoprotectores,C,Sistema cardiovascular
C05BX,Otros agentes esclerosantes,C05B,Terapia antivaricosa,C05,Vasoprotectores,C,Sistema cardiovascular
C05CA,Bioflavonoides,C05C,Estabilizadores de capilares,C05,Vasoprotectores,C,Sistema cardiovascular
C05CX,Otros agentes estabilizadores de capilares,C05C,Estabilizadores de capilares,C05,Vasoprotectores,C,Sistema cardiovascular
C07AA,Betabloqueantes no selectivos,C07A,Betabloqueantes,C07,Betabloqueantes,C,Sistema cardiovascular
C07AB,Betabloqueantes selectivos,C07A,Betabloqueantes,C07,Betabloqueantes,C,Sistema cardiovascular
C07AG,Bloqueantes alfa y beta,C07A,Betabloqueantes,C07,Betabloqueantes,C,Sistema cardiovascular
C07BB,Betabloqueantes selectivos y tiazidas,C07B,Betabloqueantes y tiazidas,C07,Betabloqueantes,C,Sistema cardiovascular
C07BG,Bloqueantes alfa y beta y tiazidas,C07B,Betabloqueantes y tiazidas,C07,Betabloqueantes,C,Sistema cardiovascular
C07CA,Betabloqueantes no selectivos y otros diuréticos,C07C,Betabloqueantes y otros diuréticos,C07,Betabloqueantes,C,Sistema cardiovascular
C07CB,Betabloqueantes selectivos y otros diuréticos,C07C,Betabloqueantes y otros diuréticos,C07,Betabloqueantes,C,Sistema cardiovascular
C07DB,"Agentes betabloqueantes selectivos, tiazidas y otros diuréticos",C07D,"Betabloqueantes, tiazidas y otros diuréticos",C07,Betabloqueantes,C,Sistema cardiovascular
C07FB,Agentes betabloqueantes y bloqueantes de canales de calcio,C07F,"Agentes betabloqueantes, otras combinaciones",C07,Betabloqueantes,C,Sistema cardiovascular
C07FX,"Agentes betabloqueantes, otras combinaciones",C07F,"Agentes betabloqueantes, otras combinaciones",C07,Betabloqueantes,C,Sistema cardiovascular
C08CA,Derivados de la dihidropiridina,C08C,Bloqueantes selectivos del canal de calcio con efectos principalmente vasculares,C08,Bloqueantes del canal de calcio,C,Sistema cardiovascular
C08DA,Derivados de la fenilaquilamina,C08D,Bloqueantes selectivos del canal de calcio con efectos cardiacos directos,C08,Bloqueantes del canal de calcio,C,Sistema cardiovascular
C08DB,Derivados de la benzotiazepina,C08D,Bloqueantes selectivos del canal de calcio con efectos cardiacos directos,C08,Bloqueantes del canal de calcio,C,Sistema cardiovascular
C08GA,Bloqueantes del canal de calcio y diuréticos,C08G,Bloqueantes del canal de calcio y diuréticos,C08,Bloqueantes del canal de calcio,C,Sistema cardiovascular
C09AA,"Inhibidores ECA, monofármacos",C09A,"Inhibidores ECA, monofármacos",C09,Agentes activos sobre el sistema renina-angiotensina,C,Sistema cardiovascular
C09BA,Inhibidores ECA y diuréticos,C09B,"Inhibidores ECA, asociaciones",C09,Agentes activos sobre el sistema renina-angiotensina,C,Sistema cardiovascular
C09BB,Inhibidores ECA y bloqueadores del canal de calcio,C09B,"Inhibidores ECA, asociaciones",C09,Agentes activos sobre el sistema renina-angiotensina,C,Sistema cardiovascular
C09BX,"Inhibidores de la ECA, otras combinaciones",C09B,"Inhibidores ECA, asociaciones",C09,Agentes activos sobre el sistema renina-angiotensina,C,Sistema cardiovascular
C09CA,"Bloqueantes de receptores de angiotensina II (BRA), monofármacos",C09C,"Bloqueantes de receptores de angiotensina II (BRA), monofármacos",C09,Agentes activos sobre el sistema renina-angiotensina,C,Sistema cardiovascular
C09DA,Bloqueantes de receptores de angiotensina II (BRA) y diuréticos,C09D,"Bloqueantes de receptores de angiotensina II (BRA), combinaciones",C09,Agentes activos sobre el sistema renina-angiotensina,C,Sistema cardiovascular
C09DB,Bloqueantes de receptores de angiotensina II y bloqueantes de los canales de calcio,C09D,"Bloqueantes de receptores de angiotensina II (BRA), combinaciones",C09,Agentes activos sobre el sistema renina-angiotensina,C,Sistema cardiovascular
C09DX,"Bloqueantes de receptores de angiotensina II (BRA), otras combinaciones",C09D,"Bloqueantes de receptores de angiotensina II (BRA), combinaciones",C09,Agentes activos sobre el sistema renina-angiotensina,C,Sistema cardiovascular
C09XA,Inhibidores de la renina,C09X,Otros agentes activos sobre el sistema renina-angiotensina,C09,Agentes activos sobre el sistema renina-angiotensina,C,Sistema cardiovascular
C10AA,Inhibidores de la HMG-CoA reductasa,C10A,"Agentes modificadores de los lípidos, monofármacos",C10,Agentes modificadores de los lípidos,C,Sistema cardiovascular
C10AB,Fibratos,C10A,"Agentes modificadores de los lípidos, monofármacos",C10,Agentes modificadores de los lípidos,C,Sistema cardiovascular
C10AC,Secuestrantes de ácidos biliares,C10A,"Agentes modificadores de los lípidos, monofármacos",C10,Agentes modificadores de los lípidos,C,Sistema cardiovascular
C10AD,Nicotínico ácido y derivados,C10A,"Agentes modificadores de los lípidos, monofármacos",C10,Agentes modificadores de los lípidos,C,Sistema cardiovascular
C10AX,Otros agentes modificadores de los lípidos,C10A,"Agentes modificadores de los lípidos, monofármacos",C10,Agentes modificadores de los lípidos,C,Sistema cardiovascular
C10BA,Combinaciones de varios agentes modificadores de lípidos,C10B,"Modificadores de lípidos, combinaciones",C10,Agentes modificadores de los lípidos,C,Sistema cardiovascular
C10BX,Agentes modificadores de lípidos en combinación con otros medicamentos,C10B,"Modificadores de lípidos, combinaciones",C10,Agentes modificadores de los lípidos,C,Sistema cardiovascular
D01AA,Antibióticos,D01A,Antifúngicos de uso tópico,D01,Antifúngicos para uso dermatológico,D,Dermatológicos
D01AC,Derivados del imidazol y triazol,D01A,Antifúngicos de uso tópico,D01,Antifúngicos para uso dermatológico,D,Dermatológicos
D01AE,Otros antifúngicos para uso tópico,D01A,Antifúngicos de uso tópico,D01,Antifúngicos para uso dermatológico,D,Dermatológicos
D01BA,Antifúngicos para uso sistémico,D01B,Antifúngicos para uso sistémico,D01,Antifúngicos para uso dermatológico,D,Dermatológicos
D02AA,Productos con silicona,D02A,Emolientes y protectores,D02,Emolientes y protectores,D,Dermatológicos
D02AB,Productos con zinc,D02A,Emolientes y protectores,D02,Emolientes y protectores,D,Dermatológicos
D02AC,Parafina blanda y productos grasos,D02A,Emolientes y protectores,D02,Emolientes y protectores,D,Dermatológicos
D02AE,Productos con carbamida,D02A,Emolientes y protectores,D02,Emolientes y protectores,D,Dermatológicos
D02AX,Otros emolientes y protectores,D02A,Emolientes y protectores,D02,Emolientes y protectores,D,Dermatológicos
D03AX,Otros cicatrizantes,D03A,Cicatrizantes,D03,Preparados para el tratamiento de heridas y úlceras,D,Dermatológicos
D03BA,Enzimas proteolíticas,D03B,Enzimas,D03,Preparados para el tratamiento de heridas y úlceras,D,Dermatológicos
D04AA,Antihistamínicos de uso tópico,D04A,"Antipruriginosos incl. antihistamínicos, anestésicos, etc.",D04,"Antipruriginosos incl. antihistamínicos, anestésicos, etc.",D,Dermatológicos
D04AB,Anestésicos de uso tópico,D04A,"Antipruriginosos incl. antihistamínicos, anestésicos, etc.",D04,"Antipruriginosos incl. antihistamínicos, anestésicos, etc.",D,Dermatológicos
D04AX,Otros antipruriginosos,D04A,"Antipruriginosos incl. antihistamínicos, anestésicos, etc.",D04,"Antipruriginosos incl. antihistamínicos, anestésicos, etc.",D,Dermatológicos
D05AA,Alquitranes,D05A,Antipsoriásicos de uso tópico,D05,Antipsoriásicos,D,Dermatológicos
D05AC,Derivados de antraceno,D05A,Antipsoriásicos de uso tópico,D05,Antipsoriásicos,D,Dermatológicos
D05AD,Psoralenos de uso tópico,D05A,Antipsoriásicos de uso tópico,D05,Antipsoriásicos,D,Dermatológicos
D05AX,Otros antipsoriásicos de uso tópico,D05A,Antipsoriásicos de uso tópico,D05,Antipsoriásicos,D,Dermatológicos
D05BA,Psoralenos de uso sistémico,D05B,Antipsoriásicos de uso sistémico,D05,Antipsoriásicos,D,Dermatológicos
D05BB,Retinoides para el tratamiento de la psoriasis,D05B,Antipsoriásicos de uso sistémico,D05,Antipsoriásicos,D,Dermatológicos
D06AA,Tetraciclina y derivados,D06A,Antibióticos para uso tópico,D06,Antibióticos y quimioterápicos para uso dermatológico,D,Dermatológicos
D06AX,Otros antibióticos para uso tópico,D06A,Antibióticos para uso tópico,D06,Antibióticos y quimioterápicos para uso dermatológico,D,Dermatológicos
D06BA,Sulfonamidas,D06B,Quimioterápicos para uso tópico,D06,Antibióticos y quimioterápicos para uso dermatológico,D,Dermatológicos
D06BB,Antivirales,D06B,Quimioterápicos para uso tópico,D06,Antibióticos y quimioterápicos para uso dermatológico,D,Dermatológicos
D06BX,Otros quimioterápicos,D06B,Quimioterápicos para uso tópico,D06,Antibióticos y quimioterápicos para uso dermatológico,D,Dermatológicos
D07AA,Corticosteroides de baja potencia (grupo I),D07A,"Corticosteroides, monofármacos",D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07AB,Corticosteroides de moderada potencia (grupo II),D07A,"Corticosteroides, monofármacos",D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07AC,Corticosteroides potentes (grupo III),D07A,"Corticosteroides, monofármacos",D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07AD,Corticosteroides muy potentes (grupo IV),D07A,"Corticosteroides, monofármacos",D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07BA,Corticosteroides de baja potencia en asociación con antisépticos,D07B,Corticosteroides en asociación con antisépticos,D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07BB,Corticosteroides de moderada potencia en asociación con antisépticos,D07B,Corticosteroides en asociación con antisépticos,D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07BC,Corticosteroides potentes en asociación con antisépticos,D07B,Corticosteroides en asociación con antisépticos,D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07CA,Corticosteroides de baja potencia en asociación con antibióticos,D07C,Corticosteroides en asociación con antibióticos,D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07CB,Corticosteroides de moderada potencia en asociación con antibióticos,D07C,Corticosteroides en asociación con antibióticos,D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07CC,Corticosteroides potentes en asociación con antibióticos,D07C,Corticosteroides en asociación con antibióticos,D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07XA,"Corticosteroides de baja potencia, otras asociaciones",D07X,"Corticosteroides, otras combinaciones",D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07XB,"Corticosteroides de moderada potencia, otras asociaciones",D07X,"Corticosteroides, otras combinaciones",D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D07XC,"Corticosteroides potentes, otras asociaciones",D07X,"Corticosteroides, otras combinaciones",D07,Preparados dermatológicos con corticosteroides,D,Dermatológicos
D08AC,Biguanidas y amidinas,D08A,Antisépticos y desinfectantes,D08,Antisépticos y desinfectantes,D,Dermatológicos
D08AD,Productos con ácido bórico,D08A,Antisépticos y desinfectantes,D08,Antisépticos y desinfectantes,D,Dermatológicos
D08AE,Fenol y derivados,D08A,Antisépticos y desinfectantes,D08,Antisépticos y desinfectantes,D,Dermatológicos
D08AF,Derivados del nitrofurano,D08A,Antisépticos y desinfectantes,D08,Antisépticos y desinfectantes,D,Dermatológicos
D08AG,Productos iodados,D08A,Antisépticos y desinfectantes,D08,Antisépticos y desinfectantes,D,Dermatológicos
D08AH,Derivados de quinolina,D08A,Antisépticos y desinfectantes,D08,Antisépticos y desinfectantes,D,Dermatológicos
D08AJ,Compuestos de amonio cuaternario,D08A,Antisépticos y desinfectantes,D08,Antisépticos y desinfectantes,D,Dermatológicos
D08AK,Productos mercuriales,D08A,Antisépticos y desinfectantes,D08,Antisépticos y desinfectantes,D,Dermatológicos
D08AL,Compuestos de plata,D08A,Antisépticos y desinfectantes,D08,Antisépticos y desinfectantes,D,Dermatológicos
D08AX,Otros antisépticos y desinfectantes,D08A,Antisépticos y desinfectantes,D08,Antisépticos y desinfectantes,D,Dermatológicos
D09A M1,Capsicum annum exto. fluido,D09A,Apósitos medicamentosos,D09,Apósitos medicamentosos,D,Dermatológicos
D09AA,Apósitos medicinales con antiinfecciosos,D09A,Apósitos medicamentosos,D09,Apósitos medicamentosos,D,Dermatológicos
D09AX,Apósitos de parafina blanda,D09A,Apósitos medicamentosos,D09,Apósitos medicamentosos,D,Dermatológicos
D10AD,Retinoides de uso tópico en el acné,D10A,Preparados contra el acné de uso tópico,D10,Preparados contra el acné,D,Dermatológicos
D10AE,Peróxidos,D10A,Preparados contra el acné de uso tópico,D10,Preparados contra el acné,D,Dermatológicos
D10AF,Antiinfecciosos para el tratamiento del acné,D10A,Preparados contra el acné de uso tópico,D10,Preparados contra el acné,D,Dermatológicos
D10AX,Otros preparados contra el acné de uso tópico,D10A,Preparados contra el acné de uso tópico,D10,Preparados contra el acné,D,Dermatológicos
D10BA,Retinoides para el tratamiento del acné,D10B,Preparados contra el acné de uso sistémico,D10,Preparados contra el acné,D,Dermatológicos
D10BX,Otros preparados contra el acné de uso sistémico,D10B,Preparados contra el acné de uso sistémico,D10,Preparados contra el acné,D,Dermatológicos
D11AA,Anhidróticos,D11A,Otros preparados dermatológicos,D11,Otros preparados dermatológicos,D,Dermatológicos
D11AC,Champúes medicinales,D11A,Otros preparados dermatológicos,D11,Otros preparados dermatológicos,D,Dermatológicos
D11AF,Preparados anti-verrugas y callicidas,D11A,Otros preparados dermatológicos,D11,Otros preparados dermatológicos,D,Dermatológicos
D11AH,"Agentes para el tratamiento de la dermatitis, excluyendo corticosteroides",D11A,Otros preparados dermatológicos,D11,Otros preparados dermatológicos,D,Dermatológicos
D11AX,Otros dermatológicos,D11A,Otros preparados dermatológicos,D11,Otros preparados dermatológicos,D,Dermatológicos
G01AA,Antibióticos,G01A,"Antiinfecciosos y antisépticos, excl. asociaciones con corticosteroides",G01,Antiinfecciosos y antisépticos ginecológicos,G,Sistema genitourinario y hormonas sexuales
G01AC,Derivados de quinolina,G01A,"Antiinfecciosos y antisépticos, excl. asociaciones con corticosteroides",G01,Antiinfecciosos y antisépticos ginecológicos,G,Sistema genitourinario y hormonas sexuales
G01AD,Ácidos orgánicos,G01A,"Antiinfecciosos y antisépticos, excl. asociaciones con corticosteroides",G01,Antiinfecciosos y antisépticos ginecológicos,G,Sistema genitourinario y hormonas sexuales
G01AF,Derivados del imidazol,G01A,"Antiinfecciosos y antisépticos, excl. asociaciones con corticosteroides",G01,Antiinfecciosos y antisépticos ginecológicos,G,Sistema genitourinario y hormonas sexuales
G01AG,Derivados del triazol,G01A,"Antiinfecciosos y antisépticos, excl. asociaciones con corticosteroides",G01,Antiinfecciosos y antisépticos ginecológicos,G,Sistema genitourinario y hormonas sexuales
G01AX,Otros antiinfecciosos y antisépticos,G01A,"Antiinfecciosos y antisépticos, excl. asociaciones con corticosteroides",G01,Antiinfecciosos y antisépticos ginecológicos,G,Sistema genitourinario y hormonas sexuales
G01BA,Antibióticos y corticosteroides,G01B,Antiinfecciosos y antisépticos en asociación con corticosteroides,G01,Antiinfecciosos y antisépticos ginecológicos,G,Sistema genitourinario y hormonas sexuales
G02AB,Alcaloides del ergot,G02A,Uterotónicos,G02,Otros preparados ginecológicos,G,Sistema genitourinario y hormonas sexuales
G02AD,Prostaglandinas,G02A,Uterotónicos,G02,Otros preparados ginecológicos,G,Sistema genitourinario y hormonas sexuales
G02BA,Anticonceptivos intrauterinos,G02B,Anticonceptivos para uso tópico,G02,Otros preparados ginecológicos,G,Sistema genitourinario y hormonas sexuales
G02BB,Anticonceptivos intravaginales,G02B,Anticonceptivos para uso tópico,G02,Otros preparados ginecológicos,G,Sistema genitourinario y hormonas sexuales
G02CA,Simpaticomiméticos represores del parto,G02C,Otros preparados ginecológicos,G02,Otros preparados ginecológicos,G,Sistema genitourinario y hormonas sexuales
G02CB,Inhibidores de prolactina,G02C,Otros preparados ginecológicos,G02,Otros preparados ginecológicos,G,Sistema genitourinario y hormonas sexuales
G02CC,Productos antiinflamatorios de administración vaginal,G02C,Otros preparados ginecológicos,G02,Otros preparados ginecológicos,G,Sistema genitourinario y hormonas sexuales
G02CX,Otros ginecológicos,G02C,Otros preparados ginecológicos,G02,Otros preparados ginecológicos,G,Sistema genitourinario y hormonas sexuales
G03AA,"Progestágenos y estrógenos, asociaciones fijas",G03A,Anticonceptivos hormonales sistémicos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03AB,"Progestágenos y estrógenos, preparados secuenciales",G03A,Anticonceptivos hormonales sistémicos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03AC,Progestágenos,G03A,Anticonceptivos hormonales sistémicos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03AD,Anticonceptivos de emergencia,G03A,Anticonceptivos hormonales sistémicos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03BA,Derivados del (4) 3-oxoandrosteno,G03B,Andrógenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03BB,Derivados de la (3) 5-androstanona,G03B,Andrógenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03CA,"Estrógenos naturales y semisintéticos, monofármacos",G03C,Estrógenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03CB,"Estrógenos sintéticos, monofármacos",G03C,Estrógenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03CC,"Estrógenos, asociaciones con otros medicamentos",G03C,Estrógenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03CX,Otros estrógenos,G03C,Estrógenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03DA,Derivados del (4) pregneno,G03D,Progestágenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03DB,Derivados del pregnadieno,G03D,Progestágenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03DC,Derivados del estreno,G03D,Progestágenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03EA,Andrógenos y estrógenos,G03E,Andrógenos asociados con hormonas femeninas,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03FA,"Progestágenos y estrógenos, combinaciones fijas",G03F,Progestágenos y estrógenos asociados,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03FB,"Progestágenos y estrógenos, preparados secuenciales",G03F,Progestágenos y estrógenos asociados,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03GA,Gonadotrofinas,G03G,Gonadotrofinas y otros estimulantes de la ovulación,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03GB,Estimulantes sintéticos de la ovulación,G03G,Gonadotrofinas y otros estimulantes de la ovulación,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03HA,"Antiandrógenos, monofármacos",G03H,Antiandrógenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03HB,Antiandrógenos y estrógenos,G03H,Antiandrógenos,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03XA,Antigonadotrofinas y similares,G03X,Otras hormonas sexuales y moduladores del sistema genital,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03XB,Moduladores del receptor de progesteona,G03X,Otras hormonas sexuales y moduladores del sistema genital,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03XC,Moduladores selectivos del receptor estrogénico,G03X,Otras hormonas sexuales y moduladores del sistema genital,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G03XX,Otras hormonas sexuales y moduladores del sistema genital,G03X,Otras hormonas sexuales y moduladores del sistema genital,G03,Hormonas sexuales y moduladores del sistema genital,G,Sistema genitourinario y hormonas sexuales
G04BC,Disolventes de cálculos urinarios,G04B,Productos urológicos,G04,Urológicos,G,Sistema genitourinario y hormonas sexuales
G04BD,Agentes para la frecuencia urinaria e incontinencia,G04B,Productos urológicos,G04,Urológicos,G,Sistema genitourinario y hormonas sexuales
G04BE,Medicamentos usados en la disfunción eréctil,G04B,Productos urológicos,G04,Urológicos,G,Sistema genitourinario y hormonas sexuales
G04BX,Otros medicamentos urológicos,G04B,Productos urológicos,G04,Urológicos,G,Sistema genitourinario y hormonas sexuales
G04CA,Antagonistas de receptores alfa-adrenérgicos,G04C,Medicamentos usados en la hipertrofia prostática benigna,G04,Urológicos,G,Sistema genitourinario y hormonas sexuales
G04CB,Inhibidores de la testosterona-5-alfa reductasa,G04C,Medicamentos usados en la hipertrofia prostática benigna,G04,Urológicos,G,Sistema genitourinario y hormonas sexuales
G04CX,Otros medicamentos usados en la hipertrofia prostática benigna,G04C,Medicamentos usados en la hipertrofia prostática benigna,G04,Urológicos,G,Sistema genitourinario y hormonas sexuales
H01AA,Acth,H01A,Hormonas del lóbulo anterior de la hipófisis y análogos,H01,"Hormonas hipofisiarias, hipotalámicas y análogos",H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H01AB,Tirotropina,H01A,Hormonas del lóbulo anterior de la hipófisis y análogos,H01,"Hormonas hipofisiarias, hipotalámicas y análogos",H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H01AC,Somatropina y agonistas de la somatropina,H01A,Hormonas del lóbulo anterior de la hipófisis y análogos,H01,"Hormonas hipofisiarias, hipotalámicas y análogos",H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H01AX,Otras hormonas del lóbulo anterior de la hipófisis y análogos,H01A,Hormonas del lóbulo anterior de la hipófisis y análogos,H01,"Hormonas hipofisiarias, hipotalámicas y análogos",H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H01BA,Vasopresina y análogos,H01B,Hormonas del lóbulo posterior de la hipófisis,H01,"Hormonas hipofisiarias, hipotalámicas y análogos",H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H01BB,Oxitocina y análogos,H01B,Hormonas del lóbulo posterior de la hipófisis,H01,"Hormonas hipofisiarias, hipotalámicas y análogos",H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H01CA,Hormonas liberadoras de gonadotrofina,H01C,Hormonas hipotalámicas,H01,"Hormonas hipofisiarias, hipotalámicas y análogos",H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H01CB,Somatostatina y análogos,H01C,Hormonas hipotalámicas,H01,"Hormonas hipofisiarias, hipotalámicas y análogos",H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H01CC,Inhibidores de las hormonas liberadoras de gonadotrofinas,H01C,Hormonas hipotalámicas,H01,"Hormonas hipofisiarias, hipotalámicas y análogos",H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H02AA,Mineralcorticoides,H02A,"Corticosteroides para uso sistémico, monofármacos",H02,Corticosteroides para uso sistémico,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H02AB,Glucocorticoides,H02A,"Corticosteroides para uso sistémico, monofármacos",H02,Corticosteroides para uso sistémico,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H02BX,"Corticosteroides para uso sistémico, combinaciones",H02B,"Corticosteroides para uso sistémico, combinaciones",H02,Corticosteroides para uso sistémico,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H02CA,Anticorticosteroides,H02C,Preparados antiadrenales,H02,Corticosteroides para uso sistémico,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H03AA,Hormonas tiroideas,H03A,Preparados tiroideos,H03,Terapia tiroidea,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H03BB,Derivados de imidazol con azufre,H03B,Preparados antitiroideos,H03,Terapia tiroidea,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H03CA,Terapia de iodo,H03C,Terapia de iodo,H03,Terapia tiroidea,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
