Codigo_Nacional;Nombre;TIPO;ATC;LABORATORIO;PVP_CIMA;VENTAS_2024;VENTAS_2025;VENTAS_2026;VENTAS_TOTAL
872291;CIALIS 20 MG 4 COMP;MEDICAMENTO;G04B;Eli Lilly Nederland B.V.;"";0;3;0;3
764972;BILAXTEN FLAS 20MG 30 COMP BU;MEDICAMENTO;R06A;Faes Farma S.A.;"";0;2;0;2
785105;MENADERM SIMPLE CREMA 60 G;MEDICAMENTO;D07A;Laboratorios Menarini S.A.;"";0;2;0;2
936518;CODEISAN JBE 250 ML;MEDICAMENTO;R05D;Teva Pharma S.L.U.;"";0;0;2;2
793802;CIPROXINA SIMPLE GOTAS 5 ML;MEDICAMENTO;S02A;Novartis Farmaceutica S.A.;"";0;2;0;2
764879;NICORETTE SUPERMINT 4MG 40COMP;MEDICAMENTO;N07B;Jntl Consumer Health (Spain) S.L.;"";0;2;0;2
766765;NASOALDO 50 MG 115 DOSIS;MEDICAMENTO;R01A;Laboratorio Aldo Union S.L.;"";0;1;1;2
835926;VALDISPERT COMPLEX 50 COMP;MEDICAMENTO;N05C;Vemedia Pharma Hispania S.A.;"";0;2;0;2
977769;VERUFIL 15 ML;MEDICAMENTO;D11A;Laboratorio Stada S.L.;"";0;2;0;2
911693;DOLOCATIL CODEINA 65030M 20CO;MEDICAMENTO;N02A;Ferrer Internacional S.A.;"";0;1;1;2
959833;ANAFRANIL 25 MG 2x20 GRAG;MEDICAMENTO;N06A;Alfasigma S.P.A.;"";0;2;0;2
917575;BUSULFANO 2 MG 100 COMP;MEDICAMENTO;L01A;Aspen Pharma Trading Limited;"";0;2;0;2
988881;NAPROSYN 500 MG 40 COMP;MEDICAMENTO;M01A;Atnahs Pharma Netherlands Bv.;"";0;2;0;2
987537;BRONCOMEDICAL SULFO 180ML;MEDICAMENTO;R05F;Medical S.A.;"";0;1;1;2
789693;MOSEGOR 0.5MG10ML SOLU 200ML;MEDICAMENTO;N02C;Ethyx Pharmaceuticals;"";0;2;0;2
805382;MIRTAZAPINA STADA 30 MG 30 CO;MEDICAMENTO;N06A;Laboratorio Stada S.L.;"";0;2;0;2
994327;ZAMENE 6 MG 20 COMP;MEDICAMENTO;H02A;Laboratorios Menarini S.A.;"";0;2;0;2
999796;FUCIDINE PDA 30 G;MEDICAMENTO;D06A;Laboratorios Leo Pharma S.A.;"";0;2;0;2
978486;BIODRAMINA 20 MG 12 CHICLE;MEDICAMENTO;R06A;Uriach Consumer Healthcare S.L.;"";0;2;0;2
857037;PROTOPIC 0.03% PDA 30 G;MEDICAMENTO;D11A;Leo Pharma A/S;"";0;2;0;2
