Codigo_Nacional;Nombre;TIPO;ATC;LABORATORIO;PVP_CIMA;VENTAS_2024;VENTAS_2025;VENTAS_2026;VENTAS_TOTAL
035508;GAFA FARLINE URBI´┐¢N 2.5;PARAFARMACIA;"";"";"";1;1;0;2
026066;FARLINE NEC VIAJE AD + COLUT;PARAFARMACIA;"";"";"";1;1;0;2
028383;FARLINE DUPLO GEL SPA 750ML + POMELO 750ML;PARAFARMACIA;"";"";"";2;0;0;2
034835;DEPRESORES MADERA 100 UND;PARAFARMACIA;"";"";"";1;0;0;1
030556;FARLINE GAFA SOL LOLA;PARAFARMACIA;"";"";"";1;0;0;1
029740;GAFA FARLINE AMBAR 1;PARAFARMACIA;"";"";"";0;1;0;1
077693;ZUECO HANKSHOES CONFORT AZ 43;PARAFARMACIA;"";"";"";0;1;0;1
003546;ACEITE HIG BACA PERLA500MG120C;PARAFARMACIA;"";"";"";1;0;0;1
029916;FARLINE DUPLO GEL ALGODON 750ML + ALMENDRA 750ML;PARAFARMACIA;"";"";"";1;0;0;1
047381;ARCANUM UNG SEDATIVO 100 ML;PARAFARMACIA;"";"";"";1;0;0;1
099452;AGUA DE ROSAS AL 0,3% 250ML;PARAFARMACIA;"";"";"";1;0;0;1
013591;BACH RESCUE GOTERO 20 ML;PARAFARMACIA;"";"";"";1;0;0;1
008994;SUBEMEDIAS CONTORNEADO H4650;PARAFARMACIA;"";"";"";1;0;0;1
029753;GAFA FARLINE ´┐¢GATA 3;PARAFARMACIA;"";"";"";0;1;0;1
032412;GAFA FARLINE CHINCH´┐¢N 1.5;PARAFARMACIA;"";"";"";0;1;0;1
038968;BAYTRIL 15 MG 10 COMP VET;PARAFARMACIA;"";"";"";1;0;0;1
073387;VASELINA GAL 12 GR;PARAFARMACIA;"";"";"";0;1;0;1
032845;GAFA FARLINE CRATOS 2;PARAFARMACIA;"";"";"";0;1;0;1
030562;FARLINE GAFA SOL HARPER;PARAFARMACIA;"";"";"";1;0;0;1
029856;FARLINE GEL ALGODON 100ML;PARAFARMACIA;"";"";"";1;0;0;1
007770;DUPLO FARLINE CR MAN HIDRATANT;PARAFARMACIA;"";"";"";1;0;0;1
013211;GAFA FARLINE KIEV NG 2.5;PARAFARMACIA;"";"";"";0;1;0;1
013212;GAFA FARLINE KIEV NG 3;PARAFARMACIA;"";"";"";0;1;0;1
012231;GAFA SOL FARLINE SUIZA NG_POL;PARAFARMACIA;"";"";"";1;0;0;1
008435;GAFA FARLINE OPT DUBLIN MA 2.5;PARAFARMACIA;"";"";"";0;1;0;1
030604;FARLINE CHAMPU ANTICASPA 100ML;PARAFARMACIA;"";"";"";1;0;0;1
012224;GAFA SOL CUBA CARE POL FARLINE;PARAFARMACIA;"";"";"";1;0;0;1
085951;PASTILLERO CORTADOR PASTILLAS;PARAFARMACIA;"";"";"";1;0;0;1
029742;GAFA FARLINE AMBAR 2;PARAFARMACIA;"";"";"";1;0;0;1
026826;APOSAN HOME FLOR PERFUM FLORAL;PARAFARMACIA;"";"";"";1;0;0;1
008437;GAFA FARLINE OPT DUBLIN MA 3.5;PARAFARMACIA;"";"";"";0;1;0;1
026442;APOSAN PASTILLER DIARIO 2 TOMA;PARAFARMACIA;"";"";"";1;0;0;1
035507;GAFA FARLINE URBI´┐¢N 2;PARAFARMACIA;"";"";"";1;0;0;1
028471;FARLINE GAFA SOL INF PANDORA;PARAFARMACIA;"";"";"";1;0;0;1
013176;GAFA FARLINE OPT OTAWA CAR 1;PARAFARMACIA;"";"";"";1;0;0;1
030511;APOSAN CALENTITOS VACA;PARAFARMACIA;"";"";"";1;0;0;1
013182;GAFA FARLINE OPT OTAWA CAR 3;PARAFARMACIA;"";"";"";1;0;0;1
002140;GAFA FARLINE OPTA MALTA 2;PARAFARMACIA;"";"";"";0;1;0;1
013191;GAFA FARLINE TOKIO GRIS 1;PARAFARMACIA;"";"";"";1;0;0;1
026059;APOSAN REPEL FAM+PULS NR R5;PARAFARMACIA;"";"";"";1;0;0;1
028469;FARLINE GAFA SOL INF ATEMIS;PARAFARMACIA;"";"";"";0;1;0;1
045658;CIGARRO MENTOL FLOWERS 2PZ 1UN;PARAFARMACIA;"";"";"";1;0;0;1
032381;GAFA FARLINE ARTIES 1.5;PARAFARMACIA;"";"";"";0;1;0;1
009433;ANIMA STRATH 100 ML;PARAFARMACIA;"";"";"";0;1;0;1
012079;BOLSA GEL FRIO CALOR 14X24;PARAFARMACIA;"";"";"";1;0;0;1
028455;FARLINE GAFA SOL AFRODITA;PARAFARMACIA;"";"";"";1;0;0;1
035835;RESUCITADOR AMB ADUL URG105N17;PARAFARMACIA;"";"";"";0;1;0;1
026824;APOSAN HOME FLOR PERFUM FRUTAL;PARAFARMACIA;"";"";"";1;0;0;1
028451;FARLINE OLEOGEL+CR INTENS ATOP;PARAFARMACIA;"";"";"";1;0;0;1
032461;FARLINE CORDON GAFA CRISTAL AZ;PARAFARMACIA;"";"";"";1;0;0;1
038976;BAYTRIL 50 MG 10 COMP VET;PARAFARMACIA;"";"";"";1;0;0;1
029890;APOSAN HOME FLOR PERF AMADERADA;PARAFARMACIA;"";"";"";1;0;0;1
029733;GAFA FARLINE AMATISTA 1.5;PARAFARMACIA;"";"";"";0;1;0;1
010719;FELIWAY DIFUSOR + RECARGA 48ML;PARAFARMACIA;"";"";"";0;1;0;1
025720;APOSAN SACO TERMIC SEMILLA VD;PARAFARMACIA;"";"";"";0;0;1;1
009408;NUTRIPLUS GEL 120 GR;PARAFARMACIA;"";"";"";0;1;0;1
007071;FARLINE TIJERAS PIELES PROFES;PARAFARMACIA;"";"";"";0;1;0;1
013035;DUPLO BEXIDENT COLUT TRIC 500*;PARAFARMACIA;"";"";"";0;0;1;1
015503;ABE´┐¢ULA AZ GD;PARAFARMACIA;"";"";"";0;1;0;1
007068;FARLINE PINZA DEPILAR PROF DECO;PARAFARMACIA;"";"";"";0;1;0;1
033924;DOUXO S3 CALM SHAMPOO 200 ML;PARAFARMACIA;"";"";"";0;1;0;1
013857;DOUXO S3 PYO SHAMPOO 200 ML;PARAFARMACIA;"";"";"";0;1;0;1
026051;FARLINE NEC TQ SEC+GEL C0 S5;PARAFARMACIA;"";"";"";0;1;0;1
032184;FARLINE NEC SP TRANS AD+PED;PARAFARMACIA;"";"";"";0;1;0;1
030606;FARLINE CHAMPU SEBORREGUL 100M;PARAFARMACIA;"";"";"";0;1;0;1
008408;GAFA FARLINE OPT MILAN AZ 3;PARAFARMACIA;"";"";"";0;0;1;1
011595;SYNOQUIN CRECIMIENTO 60COM;PARAFARMACIA;"";"";"";0;0;1;1
026466;FARLINE COLUTOR ANTICARI 100ML;PARAFARMACIA;"";"";"";0;1;0;1
013739;FARLINE DUPLO COLUTORIO ENCIAS;PARAFARMACIA;"";"";"";0;1;0;1
009443;IRC-VET GEL 50 ML;PARAFARMACIA;"";"";"";0;1;0;1
051566;SOLNATURAL STEVIA 300 TABLETAS;PARAFARMACIA;"";"";"";0;0;1;1
033523;FARLINE GAFA SOL VIRGO;PARAFARMACIA;"";"";"";0;1;0;1
012241;GAFA SOL INF AKIRA FARLINE;PARAFARMACIA;"";"";"";0;1;0;1
025976;FARLINE GAFA SOL TANGO;PARAFARMACIA;"";"";"";0;1;0;1
013194;GAFA FARLINE TOKIO GRIS 1.5;PARAFARMACIA;"";"";"";0;0;1;1
013486;GAFA SOL FARLINE LOMBOK PL;PARAFARMACIA;"";"";"";0;1;0;1
026790;FARLINE RECAMBIO CEPILL E PATR;PARAFARMACIA;"";"";"";0;0;1;1
007828;GAFA LORING TEXAS-1 AZUL +2.50;PARAFARMACIA;"";"";"";0;1;0;1
029737;GAFA FARLINE AMATISTA 3;PARAFARMACIA;"";"";"";0;0;1;1
025989;FARLINE GAFA SOL INF GAITA;PARAFARMACIA;"";"";"";0;1;0;1
