Codigo_Nacional;Nombre;TIPO;ATC;LABORATORIO;PVP_CIMA
700768;AUXINA A+E 30 CAPSULAS;MEDICAMENTO;A11J;Chiesi España S.A.U.;""
701120;VIRIREC 3MGG CREMA;MEDICAMENTO;G04B;Recordati Ireland Limited;""
701283;IMUNOCARE CR 5% 24SOBRES 250MG;MEDICAMENTO;D06B;Industrial Farmaceutica Cantabria S.A.;""
701388;REGAXIDIL 20MGML 120 ML;MEDICAMENTO;D11A;Industrial Farmaceutica Cantabria S.A.;""
701578;TAVONIN 120 MG 30 COMP;MEDICAMENTO;N06D;Dr. Willmar Schwabe Gmbh & Co. Kg;""
701717;FLUTIFORM 1255MCG PU 1AE 120D;MEDICAMENTO;R03A;Mundipharma Pharmaceuticals S.L.;""
701773;CECILIANA DIARIO20.03MG3*28CO;MEDICAMENTO;G03A;Sandoz Farmaceutica S.A.;""
701918;ESCITALOPRAM FLAS CINFA20MG28C;MEDICAMENTO;N06A;Laboratorios Cinfa S.A.;""
702118;AZITROMICINA KERN 500 MG 3 COM;MEDICAMENTO;J01F;Kern Pharma S.L.;""
702421;INVOKANA 100 MG 30 COMP;MEDICAMENTO;A10B;Janssen-Cilag International N.V;""
702593;CINFAMUCOL CARBO 750MG 12SOB;MEDICAMENTO;R05C;Laboratorios Cinfa S.A.;""
702683;JARDIANCE 25 MG 30 COMP;MEDICAMENTO;A10B;Boehringer Ingelheim International Gmbh;""
702710;BEMFOLA 150 UI0.25 ML 1 PLUMA;MEDICAMENTO;G03G;Gedeon Richter Plc.;""
702714;BEMFOLA 225 UI0.375ML 1 PLUMA;MEDICAMENTO;G03G;Gedeon Richter Plc.;""
703004;BISOPROLOL CINFA 5MG 28COMP;MEDICAMENTO;C07A;Laboratorios Cinfa S.A.;""
703171;VOKANAMET 1501000MG 60 COMP;MEDICAMENTO;A10B;Janssen-Cilag International N.V;""
703191;NORMOSTOP 50 MG 12 COMP;MEDICAMENTO;R06A;Laboratorios Normon S.A.;""
703563;IBIS 20 MG 20 COMP DIF;MEDICAMENTO;R06A;Menarini International Operations Luxembourg S.A.;""
704070;BRONCHOSTOP SOLUC ORAL 200 ML;MEDICAMENTO;R05C;Kwizda Pharma Gmbh;""
704107;ORVATEZ 1020 MG 30 COMP;MEDICAMENTO;C10B;Organon Salud S.L.;""
704171;MAXALT 10 MG 6 COMP;MEDICAMENTO;N02C;Organon Salud S.L.;""
704315;ATOZET 1080 MG 3X10 TABLETAS;MEDICAMENTO;C10B;Organon Salud S.L.;""
704500;PREGABALINA CINFA 75MG 56CAP;MEDICAMENTO;N02B;Laboratorios Cinfa S.A.;""
704738;PREGABALINA KERN 25MG 56CAP;MEDICAMENTO;N02B;Kern Pharma S.L.;""
704863;INNOHEP 8000 UI 0.4 ML 10 JGA;MEDICAMENTO;B01A;Leo Pharma A/S;""
705067;TRANKIMAZIN 2 MG 30 COMPRIMIDO;MEDICAMENTO;N05B;Viatris Healthcare Limited;""
705108;OVALEAP 450UI0.75ML 10 AGUJAS;MEDICAMENTO;G03G;Theramex Ireland Limited;""
706042;XADAGO 50 MG 30 COM;MEDICAMENTO;N04B;Zambon S.P.A.;""
706118;MAGNESIA LAINCO 200MGML 220ML;MEDICAMENTO;A06A;Lainco S.A.;""
706387;ROSUVASTATINA KERN 5MG 28COM;MEDICAMENTO;C10A;Kern Pharma S.L.;""
706388;ROSUVASTATINA KERN 10MG 28COM;MEDICAMENTO;C10A;Kern Pharma S.L.;""
706389;ROSUVASTATINA KERN 20MG 28COM;MEDICAMENTO;C10A;Kern Pharma S.L.;""
706454;PREGABALINA NORMON 100MG 84CAP;MEDICAMENTO;N02B;Laboratorios Normon S.A.;""
706509;VIACORAM 3.52.5 MG 30 COMP;MEDICAMENTO;C09B;Les Laboratoires Servier;""
706523;BEMFOLA 300 UI0.5 ML 5 PLUMAS;MEDICAMENTO;G03G;Gedeon Richter Plc.;""
706528;OMEPRAZOL HEALTHKERN 20MG 14CA;MEDICAMENTO;A02B;Kern Pharma S.L.;""
706809;FLONASE SPRAY NASAL 60 PULV;MEDICAMENTO;R01A;Haleon Spain S.A.;""
706918;GATICA 25 MG 56 CAPS;MEDICAMENTO;N02B;Laboratorios Alter S.A.;""
706936;YELLOX 0.9 MGML COLIR 5ML DIF;MEDICAMENTO;S01B;Croma-Pharma Gmbh;""
706940;ESCITALOPRAM FLAS CINFA15MG56C;MEDICAMENTO;N06A;Laboratorios Cinfa S.A.;""
706941;ESCITALOPRAM FLAS CINFA20MG56C;MEDICAMENTO;N06A;Laboratorios Cinfa S.A.;""
707172;SILDENAFILO CINFA 50MG 8COM;MEDICAMENTO;G04B;Laboratorios Cinfa S.A.;""
707177;SILDENAFILO CINFA 100MG 4COM;MEDICAMENTO;G04B;Laboratorios Cinfa S.A.;""
707411;SILDENAFILO MAST CINFA100MG8CO;MEDICAMENTO;G04B;Laboratorios Cinfa S.A.;""
707576;KEPPRA 1000 MG 30 COMP DIF;MEDICAMENTO;N03A;Ucb Pharma;""
707577;KEPPRA 500 MG 60 COMP DIF;MEDICAMENTO;N03A;Ucb Pharma;""
708316;SEASONIQUE 91 COMP;MEDICAMENTO;G03A;Theramex Ireland Limited;""
708941;ENALAPRIL TEVA-RIM 5MG 60 COM;MEDICAMENTO;C09A;Teva Pharma S.L.U.;""
709796;DUTASTERIDA CINFA 0.5MG 30CAP;MEDICAMENTO;G04C;Laboratorios Cinfa S.A.;""
709834;TADALAFILO COMBIX 20MG 8COMP;MEDICAMENTO;G04B;Laboratorios Combix S.L.U.;""
709862;LANTANON 10 MG 60 COMPRIMIDOS;MEDICAMENTO;N06A;Organon Salud S.L.;""
709969;IBUSTICK 50 MGG GEL 30 G;MEDICAMENTO;M02A;Farmasierra Laboratorios S.L.;""
710275;ESOMEPRAZOL STADA20MG56CA BO;MEDICAMENTO;A02B;Laboratorio Stada S.L.;""
710324;BRILIQUE 60MG 60 COMP;MEDICAMENTO;B01A;Astrazeneca Ab;""
710632;GLYCILAX ADU 6.75SOL REC 12ENE;MEDICAMENTO;A06A;Laboratorios Cinfa S.A.;""
711046;LENZETTO 1.53 MGDOSIS 56 PULV;MEDICAMENTO;G03C;Gedeon Richter Plc.;""
711475;OFLOXACINO POS 3MGML COL 5ML;MEDICAMENTO;S01A;Brill Pharma S.L.;""
711481;MOXIFLOXACINO NORMON 400MG5CO;MEDICAMENTO;J01M;Laboratorios Normon S.A.;""
711624;TRACTIVA 15 MG 28 COMP EFG;MEDICAMENTO;N05A;Exeltis Healthcare S.L.;""
712076;FOSFATO NM 3.56G 100 SOBRES;MEDICAMENTO;A12C;Nutricion Medica S.L.;""
712829;XERISTAR 30 MG 28 CAPS;MEDICAMENTO;N06A;Esteve Pharmaceuticals S.A.;""
713267;MICARDIS 80 MG 28 COMP DIF;MEDICAMENTO;C09C;Boehringer Ingelheim International Gmbh;""
713318;MICARDIS PL 8012.5MG 28CO DIF;MEDICAMENTO;C09D;Boehringer Ingelheim International Gmbh;""
713319;MICARDIS PL 8025MG 28CO DIF;MEDICAMENTO;C09D;Boehringer Ingelheim International Gmbh;""
713520;OMEPRAZOL GOBENS 20MG28CAP BO;MEDICAMENTO;A02B;Laboratorios Normon S.A.;""
713544;OLMESART HCTZ NORM2012.5MG28;MEDICAMENTO;C09D;Laboratorios Normon S.A.;""
713628;DICLOFENACO NORM 50MG 20C DISP;MEDICAMENTO;M01A;Laboratorios Normon S.A.;""
714220;ANGITUSS JBE 200 ML;MEDICAMENTO;R05D;Alfasigma Espana S.L.;""
714433;PLAVIX 75 MG 84 COMP;MEDICAMENTO;B01A;Sanofi Winthrop Industrie;""
714894;VARDENAFILO CINFA 20MG 4COMP;MEDICAMENTO;G04B;Laboratorios Cinfa S.A.;""
714899;OPTIALERG;MEDICAMENTO;S01G;Laboratorios Cinfa S.A.;""
